,text_x,text_predicate,text_y,hypothesis_x,hypothesis_predicate,hypothesis_y,entailment
116,african country,speaks,french,egypt,was wrested from,the french,False
117,african country,speaks,french,morocco,will become,french,True
118,african country,speaks,french,morocco,would have been,french,False
119,african country,speaks,english,english,is the language of,nigeria,True
120,african country,speaks,english,english,is the language of,ghana,True
121,african country,speaks,english,uganda,is a spot for,the english,False
122,african country,speaks,english,the english,had behaved in,south africa,False
123,african country,speaks,english,english,is the language of,zimbabwe,True
124,african country,speaks,english,the english,changed in,south africa,False
125,african country,speaks,english,english,is the language in,nigeria,True
126,african country,speaks,english,gambia,possessed by,the english,False
127,african country,speaks,english,the english,were landing in,south africa,False
128,african country,speaks,english,english,was known in,the cameroons,True
129,african country,speaks,english,the english,will be expelled from,egypt,False
130,african country,speaks,english,the english,brought from,the gold coast,False
131,african country,trades with,germany,liberia,declared war on,germany,False
132,african country,trades with,germany,germany,recognized in,morocco,False
133,african country,trades with,germany,germany,renounced to,morocco,False
134,african country,trades with,germany,germany,had no interests in,morocco,False
135,african country,trades with,germany,liberia,declares war on,germany,False
136,african country,trades with,germany,germany,had no interest in,morocco,False
137,african country,trades with,germany,germany,annexed,south africa,False
138,african country,trades with,germany,egypt,broke off relations with,germany,False
139,african country,trades with,germany,germany,annexed,the cameroons,False
140,african country,trades with,germany,germany,interfered in,morocco,False
141,african country,trades with,germany,germany,gave a hand in,morocco,False
142,african country,trades with,germany,germany,formed with,liberia,False
143,african country,trades with,germany,egypt,severed relations with,germany,False
144,african country,trades with,germany,germany,lost control of,cameroon,False
145,african country,trades with,germany,south africa,was divided between,germany,False
146,african country,trades with,germany,germany,was to get,angola,False
147,african country,trades with,germany,germany,might buy,the belgian congo,False
148,african country,trades with,germany,germany,acquired,the cameroons,False
149,african country,trades with,germany,liberia,declared war against,germany,False
150,african country,trades with,france,france,regained,senegal,True
151,african country,trades with,france,morocco,became a protectorate of,france,False
152,african country,trades with,france,tunisia,would operate with,france,True
153,african country,trades with,france,france,fought in,algeria,False
154,african country,trades with,france,algeria,belongs to,france,False
155,african country,trades with,france,algeria,belonged to,france,False
156,african country,trades with,france,algeria,gained independence from,france,False
157,african country,trades with,france,france,had conquered,algeria,False
158,african country,trades with,france,france,recognized the independence of,tunisia,False
159,african country,trades with,france,senegal,was ceded to,france,False
160,african country,trades with,france,france,would gain,egypt,False
161,african country,trades with,france,france,granted independence to,tunisia,False
162,african country,trades with,france,madagascar,gained independence from,france,False
163,african country,trades with,france,morocco,received from,france,True
164,african country,trades with,france,france,received the part of,togo,False
165,african country,trades with,france,morocco,was partitioned between,france,False
166,african country,trades with,france,france,regarded,egypt,False
167,african country,trades with,france,france,intervened in,gabon,False
168,african country,trades with,france,madagascar,was annexed by,france,False
169,african country,trades with,france,morocco,was occupied by,france,False
170,african country,trades with,france,france,respecting,egypt,False
171,african country,trades with,france,france,then attacked,egypt,False
172,african country,trades with,france,gabon,gained independence from,france,False
173,african country,trades with,france,france,does not take,egypt,False
174,african country,trades with,france,france,ousted from,egypt,False
175,african country,trades with,france,france,had understood,madagascar,False
176,african country,trades with,france,tunisia,was occupied by,france,False
177,african country,trades with,france,madagascar,belongs to,france,False
178,african country,trades with,france,france,sold to,south africa,True
179,african country,trades with,france,guinea,declared independence from,france,False
180,african country,trades with,france,madagascar,is larger than,france,False
181,african country,trades with,france,botswana,is the size of,france,False
182,african country,trades with,france,france,acquired the island of,madagascar,True
183,african country,trades with,france,france,has made in,the senegal,False
184,african country,trades with,france,france,recognised the independence of,tunisia,False
185,african country,trades with,france,mali,informed,france,False
186,african country,trades with,france,france,sent troops to,rwanda,False
187,african country,trades with,france,nigeria,broke off relations with,france,False
188,african country,trades with,france,senegal,became independent from,france,False
189,african country,trades with,france,the cameroons,were divided between,france,False
190,african country,trades with,france,france,versus,liberia,False
191,african country,was struck by,famine,a famine,broke out in,the sudan,True
192,african country,was struck by,famine,famine,struck,ethiopia,True
193,african country,was struck by,famine,egypt,suffered,famines,True
194,animal,can produce,poison,the spider,sucks,poison,False
195,animal,can produce,poison,human beings,can be infected by,poisons,False
196,animal,can produce,poison,poisons,are used for,insects,False
197,animal,can produce,poison,the tortured man,denied all knowledge of,the poison,False
198,animal,can produce,poison,poisons,are used against,insects,False
199,animal,can produce,poison,rabbits,are sensitive to,the poison,False
200,animal,can produce,poison,the poison,is carried by,an insect,True
201,animal,can produce,poison,poison,enters,the embryo,False
202,animal,can produce,poison,the collie,was not killed by,the poison,False
203,animal,can produce,poison,this poison,destroys,birds,False
204,animal,can produce,poison,insects,may be controlled with,poisons,False
205,animal,can produce,poison,poison,is taken into,the human being,False
206,animal,can produce,poison,poisonous snakes,secrete,poisons,True
207,animal,can produce,poison,poisonous snakes,secrete,poisons,True
208,animal,can produce,poison,poisons,are used to control,insects,False
209,animal,can produce,poison,the caterpillar,wields,a poison,True
210,animal,can produce,poison,insects,are controlled by,poisons,False
211,animal,can produce,poison,the hedgehog,has a resistance to,poisons,False
212,animal,can produce,poison,the unhappy man,had swallowed,poison,False
213,animal,can produce,poison,toads,extracted,poison,False
214,animal,can produce,poison,all hardy men,suffered from,the poison,False
215,animal,can produce,poison,poisons,are used to kill,insects,False
216,animal,can produce,poison,the monkeys,would spurn,the poison,False
217,animal,can produce,poison,the poison,will kill,frogs,False
218,animal,can produce,poison,the poison,was carried to,the fetus,False
219,animal,can produce,poison,soldiers,spied,the poison,False
220,animal,can produce,poison,the abyssinians,have a dread of,poison,False
221,animal,can produce,poison,the poison,was tried on,a fowl,False
222,animal,can produce,poison,the poison,may act upon,the embryo,False
223,animal,can produce,poison,the poisons,are toxic for,rabbits,False
224,animal,can produce,poison,the serpent,shall have,no poison,False
225,animal,eats,corn,men,stood and looked at,the corn,False
226,animal,eats,corn,corn,is fed to,hogs,True
227,animal,eats,corn,the blackbirds,molest,the corn,False
228,animal,eats,corn,the hogs,are crammed with,corn,False
229,animal,eats,corn,the larks,dropped into,the corn,False
230,animal,eats,corn,corn,was fed to,hogs,True
231,animal,eats,corn,the lark,soared above,the corn,False
232,animal,eats,corn,corn,is fed to,cattle,True
233,animal,eats,corn,llamas,loaded with,corn,False
234,animal,eats,corn,the foal,is filled with,corn,False
235,animal,eats,corn,worms,ravaged,corn,True
236,animal,eats,corn,the cattle,were ruining,the corn,False
237,animal,eats,corn,the corn,is good for,cattle,True
238,animal,eats,corn,an ox,tramples,corn,False
239,animal,eats,corn,elk,are fond of,corn,True
240,animal,eats,corn,newt,plowed,the corn,False
241,animal,eats,corn,the cattle,roamed over,the corn,False
242,animal,eats,corn,the hog,is fed with,corn,True
243,animal,eats,corn,the plovers,fled,the corn,False
244,animal,eats,corn,bruin,was fond of,corn,True
245,animal,eats,corn,frogs,threshed,corn,False
246,animal,eats,corn,the oxen,may be used to carry,the corn,False
247,animal,eats,corn,the ragged men,were living on,corn,True
248,animal,eats,hay,the lion,shall eat,hay,True
249,animal,eats,hay,cattle,need,hay,True
250,animal,eats,hay,the dogs,burnt,the hay,False
251,animal,eats,hay,the russian dogs,burnt,the hay,False
252,animal,eats,hay,the lion,will eat,hay,True
253,animal,eats,hay,hay,sailed by,an steamer,False
254,animal,eats,hay,the sheep,had wasted,the hay,False
255,animal,eats,hay,the dog,could not eat,the hay,False
256,animal,eats,hay,the sheep,were fed on,hay,True
257,animal,eats,hay,horses,need,hay,True
258,animal,eats,hay,curs,rose from,the hay,False
259,animal,eats,hay,several curs,rose from,the hay,False
260,animal,eats,hay,white curs,rose from,the hay,False
261,animal,eats,hay,cattle,will eat,hay,True
262,animal,eats,hay,horses,prefer,hay,True
263,animal,eats,hay,the cattle,must eat,hay,True
264,animal,eats,hay,the cattle,would eat,the hay,True
265,animal,eats,hay,cattle,are fed on,hay,True
266,animal,eats,hay,gray,were friends of,hay,False
267,animal,eats,hay,horses,munched,hay,True
268,animal,eats,hay,the hounds,were raging in,the hay,False
269,animal,eats,hay,the rhinoceros,does not eat,hay,False
270,animal,eats,hay,an ox,came to eat,the hay,True
271,animal,eats,hay,horses,should have,hay,True
272,animal,eats,hay,the french soldiers,turned for,hay,False
273,animal,eats,hay,the rails,prevent,the hay,False
274,animal,eats,hay,the soldiers,turned for,hay,False
275,animal,eats,carrion,the beetle,perceives,a carrion,False
276,animal,eats,carrion,the sharks,looked after,the carrion,False
277,animal,eats,carrion,vultures,concentrate upon,carrion,False
278,animal,eats,carrion,the vultures,live on,carrion,True
279,animal,eats,carrion,lepidoptera,associated with,carrion,False
280,animal,eats,carrion,a dead ox,was not,the carrion,False
281,animal,eats,carrion,no carrion,will kill,a crow,False
282,animal,eats,carrion,a raven,waits for,carrion,False
283,animal,eats,carrion,the shepherd dogs,howled over,the carrion,False
284,animal,eats,carrion,carrion,are devoured by,this feeder,True
285,animal,eats,carrion,carrion,are devoured by,this rapacious feeder,True
286,animal,eats,carrion,the condor,feeds upon,carrion,True
287,animal,eats,crops,cattle,fattened on,crops,True
288,animal,eats,crops,rodents,swarmed over,crops,False
289,animal,eats,crops,the crops,were destroyed by,grasshoppers,True
290,animal,eats,crops,the crops,are fed to,livestock,True
291,animal,eats,crops,crops,are fed to,livestock,True
292,animal,eats,crops,the crops,had been devoured by,grasshoppers,True
293,animal,eats,crops,the gulls,came and saved,the crops,False
294,animal,eats,crops,the scale insects,do damage to,crops,True
295,animal,eats,crops,the cattle,do not get into,crops,False
296,animal,eats,crops,the crops,were eaten up by,the grasshoppers,True
297,animal,eats,crops,honeybees,pollinate,crops,False
298,animal,eats,crops,nematodes,associated with,crops,False
299,animal,eats,crops,the deer,nibbled at,the crops,True
300,animal,eats,crops,the gentle deer,nibbled at,the crops,True
301,animal,eats,crops,aphids,are pests of,crops,True
302,animal,eats,crops,mites,are pests of,crops,True
303,animal,eats,crops,the caciques,produced,crops,False
304,animal,eats,crops,corn borer,is a menace to,crops,False
305,animal,eats,crops,the crops,were safe from,the deer,False
306,animal,eats,crops,the deer,visit upon,crops,False
307,animal,eats,crops,crops,are fed to,cattle,True
308,animal,eats,crops,the blackbirds,are the protectors of,the crops,False
309,animal,eats,crops,the crops,remind us of,the jackdaw,False
310,animal,eats,bugs,little bugs,have,bugs,False
311,animal,eats,bugs,bugs,are eaten by,fowls,True
312,animal,eats,bugs,bugs,are eaten by,domesticated fowls,True
313,animal,eats,bugs,the bugs,are shorter than,the insects,False
314,animal,eats,bugs,bugs,weave,a drone,False
315,animal,eats,bugs,bugs,are not,insects,False
316,animal,eats,bugs,a human,thinks of,bugs,False
317,animal,eats,bugs,bugs,are among,the insects,False
318,animal,eats,bugs,june bugs,are not,bugs,False
319,animal,eats,bugs,beetles,called,bugs,False
320,animal,eats,bugs,spiders,are not,bugs,False
321,animal,eats,bugs,these bugs,resemble,the water boatmen,False
322,animal,eats,bugs,these insects,are known as,bugs,False
323,animal,eats,insects,these insects,were large as,partridges,False
324,animal,eats,insects,the insect,emerges from,the pupa,False
325,animal,eats,insects,the hymenoptera,are a group of,insects,False
326,animal,eats,insects,the fossorial hymenoptera,are a group of,insects,False
327,animal,eats,insects,the guacharo,does not pursue,the insects,False
328,animal,eats,insects,the mature mantis,devours in,insects,True
329,animal,eats,insects,the praying mantis,devours in,insects,True
330,animal,eats,insects,a crocodile,would be,a insect,False
331,animal,eats,insects,lizards,prey on,insects,True
332,animal,eats,insects,the young bugs,are shorter than,the insects,False
333,animal,eats,insects,most lizards,prey on,insects,True
334,animal,eats,insects,the reptiles,shared with,the insects,False
335,animal,eats,insects,these insects,are large as,partridges,False
336,animal,eats,insects,the tree frog,can not be called,an insect,False
337,animal,eats,insects,the insect,hibernates as,a pupa,False
338,animal,eats,insects,the insect,always returns to,the perch,False
339,animal,eats,insects,the pupa,bears a resemblance to,the insect,False
340,animal,eats,insects,the young birds,are fed with,insects,True
341,animal,eats,insects,these wonderful insects,enslave,insects,False
342,animal,eats,insects,a insect,depends on,a dipterous insect,False
343,animal,eats,insects,arachnids,differ from,insects,False
344,animal,eats,insects,insects,emerge from,the pupa,False
345,animal,eats,insects,this insect,comes from,a pupa,False
346,animal,eats,insects,mantids,prey on,insects,True
347,animal,eats,insects,the hymenoptera,are and surpass,all insects,False
348,animal,eats,insects,the insects,appeared including,the first beetles,False
349,animal,eats,insects,the tuna,is a kind of,insect,False
350,animal,eats,insects,an insect,passes through,different instars,False
351,animal,eats,insects,mayflies,are unique among,insects,False
352,animal,eats,insects,the insects,are mostly,caterpillars,False
353,animal,eats,insects,the lion,does not fear,the insect,False
354,animal,eats,insects,the piping plover,live upon,insects,True
355,animal,eats,insects,mosquitoes,belong to the order of,insects,False
356,animal,eats,insects,the chrysalis,is somewhat like,the insect,False
357,animal,eats,insects,the cockchafer,belongs to the category of,insects,False
358,animal,eats,insects,the insect,has been mistaken for,a thrips,False
359,animal,eats,insects,the insects,furnish,the flycatcher,False
360,animal,eats,insects,the woodpecker,comes for,the insects,False
361,animal,eats,insects,these insects,are grouped together as,holometabola,False
362,animal,eats,insects,this insect,eliminate,harmful pests,False
363,animal,eats,insects,aphids,are a group of,insects,False
364,animal,eats,insects,holometabolous insects,are recognized,insects,False
365,animal,eats,insects,hummingbirds,also eat,insects,True
366,animal,eats,insects,mammals,are the victims of,insects,False
367,animal,eats,insects,mammals,seize,insects,False
368,animal,eats,insects,many fishes,eat quantities of,insects,True
369,animal,eats,insects,tadpoles,fall a prey to,insects,False
370,animal,eats,insects,the insect,bears a resemblance to,the myriapods,False
371,animal,eats,insects,the orthoptera,includes some of,the insects,False
372,animal,eats,insects,the tiger beetles,are mimicked by,insects,False
373,animal,eats,insects,this insect,is a relative of,the borer,False
374,animal,eats,insects,geckos,are consuming,insects,True
375,animal,eats,insects,insects,differ from,crustaceans,False
376,animal,eats,insects,insects,are smaller than,females,False
377,animal,eats,insects,insects,act as,pollinators,False
378,animal,eats,insects,the crab,leap like,some insect,False
379,animal,eats,insects,the insect,may pass as,a caterpillar,False
380,animal,eats,insects,the insects,would be,the bedbug,False
381,animal,eats,insects,the insects,are known as,thrips,False
382,animal,eats,insects,the termites,differ from,insects,False
383,animal,eats,insects,these insects,are relatives of,the housefly,False
384,animal,eats,insects,these insects,have been named,the tortricids,False
385,animal,eats,insects,these insects,are known as,thrips,False
386,animal,has,fur,a persian cat,was sleeping on,the fur,False
387,animal,has,fur,dormice,are animals with,fur,True
388,animal,has,fur,chinchillas,are and are covered with,fur,True
389,animal,has,fur,gray wolf,muzzled,the fur,False
390,animal,has,fur,the arctic hare,is enveloped in,fur,True
391,animal,has,fur,the opossum,lives and has,a fur,True
392,animal,has,fur,the cows,are clothed in,fur,True
393,animal,has,fur,the gazelle,will have,fur,True
394,animal,has,fur,baboon,cleans,the fur,False
395,animal,has,fur,some carnivores,are sources of,fur,True
396,animal,has,fur,some rodents,eat and have,fur,True
397,animal,has,fur,the lemur,grows and has,fur,True
398,animal,has,venom,the viper,has has,no venom,False
399,animal,has,venom,the venom,is not dangerous to,humans,False
400,animal,has,venom,mice,were injected with,venom,False
401,animal,has,venom,the serpent,vomits,venom,True
402,animal,has,venom,the serpents,kill with,venom,True
403,animal,has,venom,the venom,injected by,the wasp,True
404,animal,has,venom,hedgehogs,use,venom,True
405,animal,has,venom,the rattlesnake,yields a quantity of,venom,True
406,animal,has,venom,all spiders,produce,venom,True
407,animal,has,venom,all spiders,possess,the venom,True
408,animal,has,venom,all spiders,secrete,venom,True
409,animal,has,venom,cobras,spit,venom,True
410,animal,has,venom,king snakes,are immune to,venom,False
411,animal,has,venom,spiders,produce,venom,True
412,animal,has,venom,spiders,use,venom,True
413,animal,has,claws,the dragon,is armed with,claws,True
414,animal,has,claws,scorpions,have a pair of,claws,True
415,animal,has,claws,the lion,will have,no claws,False
416,animal,has,claws,whelps,fight with,claws,True
417,animal,has,claws,the imperial dragon,is armed with,claws,True
418,animal,has,claws,lions,habitually use,claws,True
419,animal,has,claws,the dragon,is depicted with,claws,True
420,animal,has,claws,the dragons,are armed with,claws,True
421,animal,has,claws,the whelps,fight with,claws,True
422,animal,has,claws,claws,are present in,all mammals,True
423,animal,has,claws,puppies,are born with,claws,True
424,animal,has,wings,the partridge,bursts on,wings,False
425,animal,has,wings,magpies,flutter with,wings,True
426,animal,has,wings,kites,sail with,wings,False
427,animal,has,wings,the known bats,were creatures with,wings,True
428,animal,has,wings,the oldest bats,were creatures with,wings,True
429,animal,has,wings,beetles,have pairs of,wings,True
430,animal,has,wings,insects,also have,wings,True
431,animal,has,wings,a monstrous beetle,sped on,wings,True
432,animal,has,wings,a small owl,comes on,wings,True
433,animal,has,wings,dragonflies,have pairs of,wings,True
434,animal,has,wings,the hornbills,would come with,wings,True
435,animal,has,wings,bobolinks,sprang up on,wings,True
436,animal,has,wings,insects,lack,wings,False
437,animal,has,wings,insects,never have,wings,False
438,animal,has,wings,the nymphs,lack,wings,False
439,animal,has,wings,the flying bird,shows,wings,True
440,animal,has,wings,such snakes,obtain,wings,True
441,animal,has,wings,thrips,are insects with,wings,True
442,animal,has,wings,a crow,floats on,wings,True
443,animal,has,wings,fleas,do not have,wings,False
444,animal,has,wings,the hymenoptera,have pairs of,wings,True
445,animal,has,wings,the larva,never has,wings,False
446,animal,has,wings,the young nymphs,lack,wings,False
447,animal,has,wings,a buzzard,floated on,wings,True
448,animal,has,wings,a small moth,has spots on,the wings,True
449,animal,has,wings,the hairstreak,has under,wings,True
450,animal,has,wings,the swallows,began to get in,the wings,False
451,animal,has,wings,wings,never exist in,the larva,False
452,animal,has,wings,the larva,should not have,wings,False
453,animal,has,wings,the wings,develop and are,nymphs,False
454,animal,has,wings,a stricken butterfly,wavers on,wings,True
455,animal,has,wings,falcons,are birds with,wings,True
456,animal,has,wings,fleas,are destitute of,wings,False
457,animal,has,wings,the black grackle,soared with,wings,True
458,animal,has,wings,the grackle,soared with,wings,True
459,animal,has,wings,cicada,is a insect with,wings,True
460,animal,has,wings,human beings,have been seen with,wings,True
461,animal,has,wings,sea birds,flew on,wings,True
462,animal,has,wings,some female moths,are destitute of,wings,False
463,animal,has,wings,the gulls,flew on,wings,True
464,animal,has,wings,butterflies,flew with,wings,True
465,animal,has,wings,caterpillars,leave off,wings,False
466,animal,has,wings,crows,swung on,wings,True
467,animal,has,wings,no fowl,claps,wings,False
468,animal,has,wings,reptiles,were endowed with,wings,True
469,animal,has,wings,splendid butterflies,flew with,wings,True
470,animal,has,wings,the nymphs,do not have,wings,False
471,animal,has,wings,the pigeon,hung with,wings,True
472,animal,has,wings,the thrips,are insects with,wings,True
473,animal,has,wings,the wings,glowed like,fireflies,False
474,animal,has,wings,wings,gathered up,a crow,False
475,animal,has,horns,the camel,wanted to have,horns,False
476,animal,has,horns,the camel,desired,horns,False
477,animal,has,horns,the little man,pulled up,the horns,False
478,animal,has,horns,jackal,took and made,horns,False
479,animal,has,horns,little jackal,took and made,horns,False
480,animal,has,horns,these horns,resemble those of,quadrupeds,False
481,animal,has,horns,frogs,actually have,horns,True
482,animal,has,horns,frogs,sometimes have,horns,True
483,animal,has,horns,horns,shot up like,a stag,False
484,animal,has,horns,the iguana,made without,horns,False
485,animal,has,horns,the white oxen,turn up with,horns,True
486,animal,has,horns,these horns,resemble as,stags,False
487,animal,has,horns,the stags,only have,horns,True
488,animal,has,horns,horns,are found in,mammals,True
489,animal,has,horns,horns,belong only to,the ruminants,True
490,animal,has,horns,the antelopes,appeared with,horns,True
491,animal,has,horns,the first antelopes,appeared with,horns,True
492,animal,has,horns,the queen,were to be seen with,horns,True
493,animal,has,horns,horns,killed,a hart,False
494,animal,has,horns,mammals,are armed with,horns,True
495,animal,has,horns,many mammals,are armed with,horns,True
496,animal,has,horns,the constrictor,arises from,the horns,False
497,animal,has,horns,the middle constrictor,arises from,the horns,False
498,animal,has,horns,the true oxen,are distinguished by having,horns,True
499,animal,has,horns,the cattle,resemble and have,horns,True
500,animal,has,horns,the rhinoceroses,still have,no horns,False
501,animal,has,horns,the cattle,are small with,horns,True
502,animal,has,horns,the larva,is known by,the horns,False
503,animal,has,horns,horns,are among,mammals,False
504,animal,has,horns,horns,grew upon,those lambs,True
505,animal,has,horns,the caterpillars,have projecting,horns,True
506,animal,has,horns,the cattle,are often without,horns,False
507,animal,has,horns,the cattle,were small with,horns,True
508,animal,has,horns,the horns,have been removed from,cattle,False
509,animal,hunts,squirrels,the squirrel,is one of,the mammals,False
510,animal,hunts,squirrels,the mammals,are species of,squirrels,False
511,animal,hunts,squirrels,the rodents,include,squirrels,False
512,animal,hunts,squirrels,this quadruped,is larger than,a squirrel,False
513,animal,hunts,squirrels,this singular quadruped,is larger than,a squirrel,False
514,animal,hunts,squirrels,master sparrow,shook off,the squirrels,False
515,animal,hunts,squirrels,sparrow,shook off,the squirrels,False
516,animal,hunts,squirrels,the fleas,were put with,a squirrel,False
517,animal,hunts,squirrels,the remaining fleas,were put with,a squirrel,False
518,animal,hunts,squirrels,squirrel,came to,frog,False
519,animal,hunts,squirrels,rodents,are ground,squirrels,False
520,animal,hunts,squirrels,squirrels,are also,rodents,False
