provide a forum for@R@	provide the opportunity for@R@
contract	sign up to
be experienced with@R@	have any experience with@R@
set to@R@	be to@R@
seem more like@R@	become more than@R@
be hard to get@R@	be important to have@R@
be filed in@R@	be tried in@R@
chat about	blog
go on at@R@	begin at@R@
speed up	hurry
reload@R@	recharge@R@
listen for@R@	read for@R@
be imported into	export
have extensive experience in	be trained in
find one in	find out in
require in@R@	take in@R@
sign on to@R@	sign up to@R@
keep tell@R@	tell@R@
point	be the head of
be reviewed in@R@	be evaluated in@R@
unlock	be opened by@R@
regret@R@	feel@R@
last from	consist
burn	burn to
take place on@R@	be due for@R@
be the amount of@R@	be the sum of@R@
be free on@R@	be free in@R@
be geared to@R@	be targeted to@R@
remember be@R@	mention be@R@
be conducted	be repeated in
be popular in	be invented in
conserve	protect
be the nature of	be the master of
move towards@R@	be moved by
love to play with@R@	enjoy work with@R@
entertain@R@	toy with@R@
be a major cause of@R@	be caused by
use a number of	allow the use of
be placed at	be displayed at
help protect	be protected by@R@
receive in	hear in
fall off@R@	come off@R@
await@R@	expect from@R@
encircle@R@	walk around@R@
uninstall@R@	need to adjust@R@
be returned in@R@	be obtained in@R@
be good at	be good in
receive from	learn from
be composed of@R@	make of@R@
be easy to find@R@	be to get@R@
start do	end up do
take a number of	make a number of
receive about	get about
buy one of	get one of
entertain@R@	cheer@R@
be off to	head off to
continue as@R@	stand out as@R@
matter in@R@	figure in@R@
start take@R@	get to take@R@
be built into@R@	transform into@R@
order from@R@	have from@R@
visit to@R@	see@R@
be informed about@R@	be made aware of@R@
be the main source of	be packed with
store	start collect
emerge as@R@	swell@R@
come between	lie between
end at	at
look to do	try to do
go shop for@R@	come in for@R@
execute@R@	conform to@R@
write letter to	send a letter to
contract	sign to
continue to work with	do the work for
see on@R@	check on@R@
love get	have have
foresee	picture
be ready to make	plan to have
be received at@R@	be offered at@R@
be to keep@R@	be to have@R@
be taken on@R@	be taken in@R@
take about	like to take
do work in@R@	start work in@R@
continue to be@R@	prove to be@R@
display@R@	pull off@R@
end up do@R@	be gonna do@R@
obey	abide by
be to share@R@	be to show@R@
adopt	accept
move at	fall at
head down to	head to
be committed to provide@R@	be dedicated to provide@R@
fling@R@	give away@R@
happen in	operate in
continue to use@R@	encourage the use of@R@
have before	happen before
be captivated by	captivate@R@
proclaim@R@	greet@R@
mean in	imagine in
search on@R@	do a search on@R@
hang over	take place over
employ	hire
contract	sign up
take one look at	look down at
save from	from
brush@R@	swing@R@
exhibit in@R@	be exhibited in@R@
tend to make	need to make
fall over@R@	come over@R@
stare in@R@	listen in@R@
be located near@R@	be located at@R@
be more than@R@	be nothing more than@R@
center	concentrate
be situated on@R@	be on@R@
be relevant in	be appropriate in
proceed with@R@	carry on@R@
fight over@R@	defend@R@
be news to	be good news for
post a link to@R@	have a link to@R@
win for@R@	get for@R@
return home to@R@	revert to@R@
have a lot of	have load of
be appointed as@R@	be elected as@R@
be easier for	be illegal for
blame on@R@	criticize@R@
be published by	let go of@R@
be handled in@R@	be considered in@R@
bring	play on
buy	take over
want to show	show to
do a couple of	find a couple of
be accessed through@R@	have direct access to@R@
be the manager of	be directed by@R@
take over@R@	be taken over by
walk on	walk
discard@R@	flick@R@
view as	see this as
be required to pay@R@	be charged@R@
look over	bounce off
dispose	be restricted by@R@
do without	do this without
travel for	follow for
hesitate	pause in
sail@R@	navigate@R@
recover	receive
grow at@R@	change at@R@
be suggested by	propose@R@
be confined to@R@	be restricted to@R@
be a major cause of	bring a lot of
speak of@R@	tell of@R@
succeed with@R@	be successful with@R@
announce in	tell in
hold in	get in
outlive@R@	exist@R@
recommend to	provide service to
attempt to make@R@	strive to make@R@
surface in@R@	come up in@R@
be carried out by@R@	live up to
use at	at
love to read@R@	read through@R@
take photo of	have a photo of
seal@R@	shut@R@
elude@R@	evade@R@
be given at@R@	be seen at@R@
work to get@R@	like to get@R@
start collect	have a collection of
be the head of@R@	be by
enlighten	light
crawl to	creep to
be a huge part of	be a major part of
be visible on@R@	be seen on@R@
give a damn about	give a shit about
be free of@R@	be freed from@R@
be gone from	be for
frown at@R@	gaze at@R@
see an increase in	want to raise
be to keep	be keep
prohibit	wipe out
do to	do this to
spy on	spot
fall on@R@	decide on@R@
feel bad for	obtain for
draw from	from
be considered in	be addressed in
be the cost of@R@	be the value of@R@
post about	post
ask one of@R@	want one of@R@
be widespread in@R@	be common among@R@
be to kill@R@	be supposed to take@R@
be constructed of@R@	be made up of@R@
be posted@R@	be posted at@R@
be harder for@R@	be rare for@R@
perform@R@	satisfy@R@
want more than@R@	have more than@R@
help on@R@	build upon@R@
give money to	allow to
occur on	take place on
have a profound effect on	have no impact on
be served@R@	be served with@R@
notice@R@	detect@R@
be confronted by@R@	confront
leave to	run to
carry in	keep in
explain some of	give an overview of
come over to@R@	drive to@R@
cut through	be ignored by@R@
raise to@R@	build up to@R@
be on@R@	be situated on@R@
end up in	end in
diversify	stretch out
hold true for	be true with
run as@R@	operate as@R@
arise@R@	come about@R@
condone@R@	pardon@R@
compound@R@	heighten@R@
damage@R@	be hurt by
go as@R@	happen as@R@
care more about@R@	worry about@R@
evolve to	develop to
visit@R@	be visited by
wear in@R@	hear in@R@
seek@R@	research@R@
get access to	be given access to
be made into@R@	be made in@R@
be lower than	be less than
bring with@R@	try with@R@
shut	close in on
be the nature of@R@	be the product of@R@
be flown to	be admitted to
lean	cock
dare@R@	presume@R@
be completed by@R@	please fill out
start get	start to get
spend much time in@R@	perish in@R@
use a variety of	require the use of
be comfortable in@R@	feel comfortable in@R@
keep up@R@	be kept by
be the time for@R@	be a time for@R@
allocate	be appointed by@R@
glance over at@R@	look at@R@
be to ask	be to look at
consider to be	believe be
help save	be saved by@R@
be the key to	be essential to
fight with	contend with
use on@R@	take on@R@
look with	enjoy with
audition for@R@	perform for@R@
be put in@R@	outline in@R@
break in	break out in
start to make	keep make
fly into	leap into
be full of@R@	be packed with@R@
decide to keep	observe
start off as	start as
be something of	be the of
obtain in@R@	gain in@R@
denounce	condemn
continue through@R@	pass through@R@
talk in	preach in
be something for@R@	be fun for@R@
use a number of@R@	make extensive use of@R@
brush	sway
argue	debate
try to be@R@	grow up to be@R@
exceed@R@	surpass@R@
get after@R@	have after@R@
be asked by	look to@R@
yank@R@	jerk@R@
be illustrated in	be summarized in
describe to@R@	point out to@R@
taste like	sample
recognise	recognize
feel the need for	need to wait for
dance to@R@	dance@R@
revert to	return to
carry out@R@	conform to@R@
be provided at	be all at
sit	sit at
be served at@R@	be served on@R@
be to take@R@	be to bring@R@
need to pay for@R@	want to pay@R@
mean in@R@	think in@R@
glorify	proclaim
be kind of	be a mix of
allow to@R@	donate to@R@
heighten	deepen
be an employee of@R@	be employed at@R@
be located at@R@	be located@R@
turn out@R@	work@R@
be to say	be give
take issue with@R@	disagree with@R@
impact on@R@	have no impact on@R@
allege	keep say
turn out in	go out in
emerge as@R@	originate@R@
fulfil@R@	carry out@R@
sing at	think at
be performed at	be taken at
want to check out	need to check
seek in	search on
tug at@R@	pull at@R@
approve for	be submitted to@R@
feel connected to@R@	receive to@R@
be required in	be needed in
settle to	evolve to
serve as	double as
please complete@R@	please fill in@R@
count as	matter
learn something from@R@	have from@R@
occur during@R@	work during@R@
dictate@R@	communicate@R@
be accessible to	be accessible for
be sure to	be willing to
be both in@R@	be in@R@
be the capital of@R@	be the core of@R@
dont want@R@	need to worry about@R@
try to steal	try to find
lurk in@R@	go on in@R@
decide to keep@R@	please keep@R@
have a significant impact on@R@	have a positive effect on@R@
be the highlight of@R@	be part of@R@
retire to@R@	move to@R@
float to@R@	swim to@R@
inhabit@R@	move into@R@
illuminate@R@	light@R@
chat	talk
have lunch at@R@	spend at@R@
be ready to make	like to make
extend@R@	prolong@R@
follow in	move in
resemble	conform to
be my kind of@R@	be the same kind of@R@
rehearse	practise
stop play	play like
drive with	move with
get hit by	collide with@R@
push through@R@	travel through@R@
push through@R@	rush through@R@
become attached to	become to
sacrifice	give up
die after@R@	do after@R@
dont make	continue to make
sign up	sign on to
say to	point out to
be designed to allow@R@	be designed to give@R@
be removed to@R@	be shifted to@R@
die for@R@	pay the price for@R@
smell of@R@	live@R@
lead on	be directed by@R@
live off@R@	go off@R@
need to contact@R@	need to get to@R@
be encouraged to participate in@R@	be invited to join@R@
be a professor at	be educated at
collect in	buy in
export to	be imported from
alert@R@	warn@R@
be the age of@R@	be a day of@R@
exist before@R@	go before@R@
be find	be to meet
be set out in	define in
debate@R@	speak about@R@
have nothing in	have one in
depend upon@R@	be dependent on@R@
minister to	attend to
be scheduled	be set for
allow to@R@	pass to@R@
expand@R@	magnify@R@
want to find@R@	want to see@R@
achieve in	manage in
operate with	fly with
run in	go in
negotiate for	speak about
hold at	have at
happen to have	to
unveil	uncover
be served to@R@	act with@R@
say for	read for
host	be hosted by@R@
like to play	try to play
be prominent in@R@	be big in@R@
be deleted from	be hosted on
gain	reside on
whisper@R@	whisper to@R@
be excited by@R@	frighten
specialize in	be experienced in
translate@R@	look to@R@
come in from	arrive from
misplace@R@	be left by
see in@R@	receive in@R@
perform in	star in
see one of	enjoy some of
be generated by	return@R@
acknowledge@R@	be recognized by
leave without	happen without
center	focus
hide in	wait in
wait at	train at
be available on@R@	download from@R@
have no objection to@R@	object to@R@
be lower than	be bigger than
settle in@R@	settle@R@
have its share of@R@	be fraught with@R@
transport@R@	be by
float to@R@	wander to@R@
weigh@R@	matter to@R@
be a important part of	be a vital part of
be prompted for	need to enter
come of@R@	become of@R@
arrive on@R@	drop on@R@
look from	originate from
be allowed@R@	be allowed to take@R@
be reviewed by@R@	run over
crash into@R@	slam into@R@
like to	to
be released on	on
link to	pertain to
be usual for	be desirable for
pay more for	on
be on@R@	be both on@R@
think make@R@	think have@R@
close on	shut
crave@R@	crave for@R@
slam into@R@	crash into@R@
believe in	think about
race	fit in
climb into	climb to
be scheduled on@R@	be held@R@
be indicated for@R@	be approved for@R@
go near@R@	come near@R@
be obtained by@R@	be received by@R@
be paid to@R@	be by@R@
stretch to	go to
be dependent on@R@	depend on@R@
travel to@R@	relocate to@R@
create opportunity for	provide the opportunity for
smell@R@	experience@R@
be easier for	be normal for
be selected from	be determined in
be displayed in	march in
publish on@R@	print out@R@
be restricted by	restrict@R@
be the last of	be of
break off	contravene
be the first of	be the first part of
take place on@R@	be set for@R@
censor	be prohibited by@R@
help increase	help build
be one of@R@	become one of@R@
specify@R@	set@R@
be key to@R@	hold the key to@R@
work out of@R@	work of@R@
tape	log
be the closest to@R@	be closer to@R@
back out of	pull of
take out@R@	bring out@R@
find out from	feel from
please send@R@	be posted by
stop take	be allergic to
be fundamental to@R@	be crucial to@R@
be driven from@R@	be expelled from@R@
get hit by@R@	be hit with@R@
need to increase	need to have
learn in	pick up in
execute@R@	be executed by
suck at@R@	be better at@R@
be identical to@R@	be similar to@R@
write letter to	write to
activate@R@	set off@R@
enjoy have@R@	try to have@R@
go see	come to meet
frequent	at
be given at	be shown at
delay	cool
take with	with
be sympathetic to	enjoy with
work out of@R@	of@R@
impact on@R@	have an effect on@R@
knock	be critical of
have the power of@R@	cost more than@R@
relate@R@	unite@R@
look great in	look good in
get a couple of@R@	have a pair of@R@
exclude	wipe out
live at@R@	see at@R@
hit in@R@	be hit in@R@
be excited by	thrill@R@
start look for	begin look for
be about to@R@	refuse to@R@
contract	be signed to
produce for	offer for
hope be@R@	want@R@
feel of	read of
be secured to@R@	mount to@R@
shine in@R@	use up@R@
occupy in@R@	in@R@
suffer with	be afflicted with
run of	of
be separated from	break from
be shaped by	shape@R@
be listed for	be shown for
be portrayed in@R@	be shown in@R@
be author of	be the author of
be denied access to@R@	gain access to@R@
impact on	have a huge impact on
accept for	for
be designed as	be meant to be
be manufactured by	be built by
be enrolled in	in
sort of	doesnt
like to go to	love go to
buy one of	have many of
seek for@R@	consider for@R@
help increase@R@	help establish@R@
pick out	clear out
contract	sign on
be kept for@R@	be kept at@R@
be geared to@R@	be aimed at@R@
be thought of as	be seen as
love listen to@R@	listen to@R@
be something for@R@	be for@R@
swim@R@	retire@R@
start off	commence
get up from@R@	spring from@R@
list all of	find a list of
happen to have	give money to
sit for	for
be harder for	be easier for
fit in@R@	agree@R@
describe to@R@	tell to@R@
be chairman of@R@	be chair of@R@
fall at@R@	be held at@R@
be excellent in	be perfect in
get through to@R@	get down to@R@
accelerate@R@	hasten@R@
be versed in	have extensive experience in
walk	walk on
be crucial for	be needed for
get a job in	play in
quit@R@	stop@R@
stretch@R@	prolong@R@
walk behind@R@	be behind@R@
be delayed for@R@	be suspended for@R@
be organized in@R@	be arranged in@R@
be drafted by	start write@R@
benefit@R@	help@R@
be interested in learn more about@R@	find out more about@R@
tell of	of
be forced to take	be willing to take
walk over	run over
hook on	become addicted to
have a bunch of	have a great deal of
be optimized for@R@	be viewed with@R@
be attractive to	be attracted by@R@
comprise	form
be published by	publish@R@
warm to@R@	awake to@R@
have a great time in@R@	spend a week in@R@
make a couple of@R@	see a couple of@R@
snatch	break through
come down to	settle to
be one aspect of	be an aspect of
be stored in	be in
show for	be sent for
be the city of	be the land of
be surprised at@R@	be disappointed with@R@
have a positive impact on	have a profound impact on
compete in	race
range in@R@	operate in@R@
be opened to@R@	be open for@R@
be opposed to@R@	oppose to@R@
imply@R@	entail@R@
embark	comply
rise@R@	climb up@R@
cry for	scream for
want to improve	want to develop
suggest for	be accepted for
resist	tolerate
gather in	in
involve	be by@R@
want to see	like to see
be designed to be@R@	be presented as@R@
please fill out@R@	fill out@R@
record@R@	be cut@R@
be the problem of	be the idea of
be broken down into@R@	be organized in@R@
offer at	provide at
use one of	get one of
strike	be struck by@R@
read more about	get more information about
come look for	search for
recomend	reccomend
be an expert in@R@	have experience in@R@
be converted to	evolve into
bow to@R@	defer to@R@
do be	wont
remember for@R@	know for@R@
need help with@R@	assist with@R@
step of@R@	walk out@R@
be geared to@R@	be geared toward@R@
start for	set out for
tweak@R@	adjust@R@
beckon@R@	move@R@
be easier for	be impossible for
be happy to see	catch sight of
attempt to	have to
didnt want@R@	dont want@R@
work to	see to
prefer to use@R@	try use@R@
provide a link to@R@	include link to@R@
doubt	have doubt about
be established for	be established in
be substituted for	substitute
work to improve@R@	need to develop@R@
argue@R@	talk about@R@
capture	be taken over by@R@
be outside of@R@	be outside@R@
be sure to	have time to
rejoin@R@	be delivered by
fly off	live off
expand in	be grown in
dont like	wish for
be the work of@R@	be the creation of@R@
accuse@R@	blame@R@
cross to	run to
be a form of@R@	be a kind of@R@
die for@R@	for@R@
rain@R@	spit out@R@
kidnap	abuse
eat at@R@	dine at@R@
witness	be witness to
like to know about	like to hear
arrive at	arrive
be kept out of@R@	be way out of@R@
take responsibility for	be liable for
sit down for@R@	pose for@R@
minimize@R@	mitigate@R@
glorify	be greeted by@R@
help put@R@	put@R@
be as	be considered to be
head up@R@	head@R@
be seen at@R@	be placed at@R@
discard@R@	fling@R@
wait until	return on
wish@R@	like@R@
live for@R@	have for@R@
be time for	be a time for
get to meet@R@	have a meeting with@R@
decide@R@	be decided by
be significant in	be important in
rise in@R@	originate in@R@
decide upon@R@	determine@R@
shop	buy at
be found for	be found at
be open from@R@	open on@R@
hope be	trust
recommend in@R@	sing in@R@
be made by@R@	get to make
take of@R@	of@R@
facilitate	assist
get on to@R@	on@R@
feel from	from
drown@R@	overload@R@
mean the end of	deduce
serve with@R@	act with@R@
cook in	grill
be a fellow of	be a member of
exist between@R@	pass between@R@
place@R@	be put by
sing about@R@	talk@R@
begin to	need to
be proportional to@R@	be relative to@R@
open the door of@R@	open the door to@R@
want to@R@	choose to@R@
seem to get	gonna get
list some of	give an overview of
dry	scrub
grow with@R@	with@R@
locate in	settle in
have any problem with	have problem with
sign up for@R@	sign for@R@
be offered at@R@	be given at@R@
demonstrate in@R@	show up in@R@
care for	be near to
compete against@R@	do against@R@
begin take	start to take
be the second of	be the only one of
write at@R@	read at@R@
outlive@R@	be survived by
hunt for	hunt
be ready to make@R@	intend to make@R@
telephone@R@	get a call from@R@
reimburse@R@	refund@R@
be the time for@R@	be a good time for@R@
commit	devote
run at@R@	fail at@R@
pee on@R@	be embraced by
allow for@R@	tolerate@R@
protect@R@	help protect@R@
get the benefit of	enjoy the benefit of
fit in with	fit with
be intended to provide	be to bring
perform on	enjoy on
be developed with	be written with
come at@R@	go on at@R@
occur in	engage in
be bad in@R@	be worse in@R@
be sold at@R@	be purchased at@R@
involve	be needed by@R@
spend for@R@	save for@R@
be lower in@R@	be deficient in@R@
do during	meet during
be designed as@R@	be provided as@R@
provide a range of	have a wide variety of
shoot to@R@	be shot by
pause	pause in
assess@R@	measure@R@
navigate	sail from
be surprised to see	be to see
be notified of@R@	be informed about@R@
happen between	come between
be time to get	be easy to get
raise fund for	fund
like to buy	need to buy
be arrested by@R@	halt
prevail in@R@	dominate in@R@
die as	as
be dressed in@R@	dress@R@
react with@R@	respond with@R@
know in@R@	look at in@R@
have a significant impact on@R@	be effected by
have into	fall into
mean more than@R@	be more effective than@R@
be provided by	provide@R@
learn something from@R@	learn from@R@
cover up@R@	sink@R@
happen for@R@	for@R@
suffer with@R@	be treated for@R@
be eligible for@R@	be eligible to apply for@R@
die as	feel as
immigrate to@R@	migrate to@R@
outlive@R@	survive@R@
run into@R@	travel across@R@
take	want to take
dwell on	survive on
help support@R@	continue to support@R@
decide for@R@	select for@R@
enter in	post in
tell to@R@	explain to@R@
resolve@R@	be resolved by
anticipate@R@	visualize@R@
continue to support@R@	help support@R@
depend on@R@	be dependant on@R@
feel free to contact	please e-mail
speak@R@	sing@R@
cry out for	scream for
go up to	run up to
think a lot of@R@	think most of@R@
pack in@R@	get in@R@
register for	be filed by@R@
set in	outline in
rip off	rip
have no need for	don want
be preceded by@R@	die before
descend	bury
climb into	climb up
have to	to
recommend take	recommend
pay more for	spend money on
cater to	be supplied by@R@
earn in	understand in
deprive	clean
drop by	flow
predate@R@	die before@R@
follow from	arise from
lose@R@	be left by
be submitted for	be sent for
be considered in	be explored in
love do	look to do
begin to lose	seem to lose
rule in	dominate
be examined in	be explained in
be driven from	get kicked out of
hear a lot of	see a lot of
have two of	need one of
succeed at	want at
want to set	need to set
fit in@R@	adapt to@R@
write in@R@	publish in@R@
rain	spit
be unable to@R@	wish to@R@
work from@R@	from@R@
be established by@R@	found
be returned in@R@	be in@R@
be written as@R@	be meant to be@R@
do to	like to
believe@R@	believe in@R@
have any problem with@R@	have with@R@
flood@R@	load up@R@
be the object of@R@	be the function of@R@
be led by@R@	direct
know about@R@	know more about@R@
burst	break up
work great for	want to work for
last about	start to take
be thrilled with@R@	be with@R@
recognize the importance of	understand the importance of
be elected as@R@	be elected to@R@
bake@R@	fry@R@
chair	become president of
shower@R@	be supplied by
translate	interpret
speak of@R@	say of@R@
drop out of@R@	fall out of@R@
want to do for	work on for
go thru	thru
be an expert in@R@	be skilled in@R@
make reference to@R@	be refer to@R@
hail	praise
eat up	use up
have a need for	need some sort of
certify@R@	be passed by
consume@R@	exhaust@R@
like to get	need to get
present in@R@	give in@R@
look nothing like@R@	appear like@R@
be critical to	be vital to
be something for	have something for
be held by@R@	retain
stop in@R@	end in@R@
be considered in	be studied in
be saved by	save@R@
enjoy go to	love to go to
become more than	look more like
be beautiful in@R@	be great in@R@
achieve with@R@	be successful with@R@
be fan of	be a huge fan of
provide a variety of	offer a selection of
leave without	go without
be rewarded for@R@	be paid on@R@
be hit@R@	stumble on@R@
make do with	don need
meditate on@R@	plan on@R@
wake up to@R@	awaken to@R@
be established as	be recognized as
provide a range of@R@	have a great selection of@R@
have the power of	be more complex than
be summarized in	be demonstrated in
be a man of	learn to love
require a great deal of	take a great deal of
appear in@R@	show in@R@
stop with@R@	close with@R@
leave without	die without
be charged in	be in
shrink@R@	inhibit@R@
have extensive experience in	be versed in
get of@R@	get out of@R@
read any of@R@	have all of@R@
be the main source of@R@	contain lot of@R@
begin make	keep make
post to	mail to
run by@R@	drive by@R@
light up@R@	fire up@R@
become available for@R@	be provided for@R@
be offered on@R@	be in@R@
have a collection of@R@	have a bunch of@R@
pay off in	in
peel@R@	be removed by
start call@R@	decide to call@R@
be the chairman of	be elected president of
want to understand	like to see
jump from@R@	emerge from@R@
consume@R@	be eaten by
connect to	link to
love go to@R@	go to@R@
lay down in@R@	in@R@
aid in	support
be inundated with	be flooded with
wield@R@	rehearse@R@
navigate through	navigate to
deepen	intensify
be good news for	be a good thing for
be experienced	be trained in
persist in@R@	linger in@R@
agree to	give way to
suggest in	report in
describe some of	explore some of
be reduced in@R@	double in@R@
tend to focus on	need to focus on
slide down@R@	come down@R@
try to kill@R@	need to get rid of@R@
be confused by	mix in@R@
thrive on	get up on
seek to	have to
turn towards@R@	move towards@R@
be stuck on@R@	get stuck on@R@
want to support	meet the need of
spin	rotate
continue on to@R@	attach to@R@
understand in	recover in
mark the beginning of	be the first in
find most of	enjoy some of
be evaluated in@R@	be explained in@R@
do the same to	do the same thing to
be over at@R@	be provided at@R@
be the state of@R@	be a state of@R@
say for@R@	look out for@R@
notice be	live be
head on	continue for
have picture of	have a picture of
tune	adjust
watch for@R@	watch out for@R@
be offered at@R@	be performed at@R@
impact on	have an effect on
cook for@R@	go on for@R@
be the state of@R@	be the land of@R@
occur on	operate on
go to visit	come to
be cut	ignore
make full use of	tend to use
want to enjoy	ask to see
assume in@R@	take on@R@
be one example of	be example of
take place over	fall over
want to meet	get to meet
hop on	on
recognize in	buy in
be survived by@R@	come through
raise	put up
be appointed as@R@	take over as@R@
begin to get@R@	tend to get@R@
do a couple of@R@	take a couple of@R@
solicit	bring about
receive in	see in
detect	be detected by@R@
notice in	write in
live for@R@	for@R@
be married for	get married
be safe from@R@	be protected from@R@
suffer through	suffer
be utilized by@R@	hire in
be killed in@R@	pass away in@R@
stop take	be prescribed
be portrayed in	be demonstrated in
impact	have a positive impact on
write on	be written on
head down to@R@	head off to@R@
take one of@R@	choose one of@R@
prompt	remind
cater to	put up
crave for	like for
build up in	produce in
petition	scream for
lose contact with	want to get to
take	like to take
continue to get	seem to get
mean a lot to@R@	mean much to@R@
wander to@R@	come to@R@
grow from	jump from
pose for@R@	for@R@
gain control of@R@	want to control@R@
be allowed into@R@	be prohibited in@R@
eat up	wipe out
propel@R@	prompt@R@
watch out for@R@	see for@R@
come be@R@	know be@R@
compile a list of@R@	find a list of@R@
embody@R@	be the symbol of@R@
have feeling for@R@	find for@R@
take to	like to
care for	be to
know everything about	dont know about
rush through	drive through
be descended from	arrive from
love about@R@	make about@R@
be appointed as@R@	be elected@R@
be received in	be prepared in
pitch@R@	set up@R@
appear from@R@	look from@R@
love to read@R@	enjoy read@R@
try one of@R@	use one of@R@
be designed for@R@	be recommended for@R@
want to meet	like to meet
proceed from	run from
lose sight of	see
be a party to@R@	be signed by
have experience in@R@	be an expert in@R@
read up on@R@	register on@R@
play around with	play with
prove to be	promise to be
arise@R@	arrive@R@
be accepted by	accept@R@
transform into	be converted into
take any of	use one of
have feeling for@R@	feel for@R@
rely more on@R@	be dependant on@R@
be relevant in	be acceptable in
span@R@	go over@R@
give an overview of@R@	explain some of@R@
be more powerful than@R@	do more than@R@
be big fan of@R@	be a fan of@R@
know on	face on
be obtained in	be provided in
have any effect on@R@	be effected by
go along with@R@	enjoy with@R@
be attacked by@R@	raid
pick out	pull out
vote in@R@	vote for@R@
try to improve	want to improve
burn in@R@	burn to@R@
count@R@	count for@R@
think about get@R@	like to buy@R@
proceed to@R@	cling to@R@
cover for	report for
be collected from	be derived from
be a mixture of	be a form of
gather	collect
read into@R@	research@R@
acquire@R@	be acquired by
be a mix of	be a type of
flow through@R@	flow@R@
be caught up in	in
assess@R@	evaluate@R@
visit	see
be meant by@R@	mean
drive to	drive out to
give money to@R@	reach to@R@
be the name of	be the title of
last for	exist for
cover some of	discuss some of
heighten	compound
hang	attach
recruit@R@	enlist@R@
have control over	lose control of
prohibit	be prohibited by@R@
be thankful to	like to thank
play with	start work with
like to find	want to know
live as@R@	have as@R@
trade@R@	exchange@R@
meet with	meet
send from@R@	be sent from@R@
be inserted into	be inserted in
head towards@R@	head toward@R@
prevail in	be dominated by@R@
thank@R@	spy@R@
finish off@R@	complete@R@
lay in@R@	lay down in@R@
think on@R@	mirror@R@
graduate from@R@	study at@R@
decrease	mitigate
speak	be spoken by@R@
be a discussion on@R@	talk about@R@
be interested in learn more about@R@	read about@R@
do a lot of@R@	of@R@
mean much to@R@	mean more to@R@
get involved in	be active in
please email	e-mail
respond to	explain to
be laid out in@R@	be laid in@R@
descend into	plunge into
occur as	have as
suspend@R@	be put by
be sent in	be received in
travel by@R@	by@R@
insist	insist on
bid@R@	for@R@
try at	experience at
relinquish	offer up
come complete with	come equipped with
didnt know	know
do to make@R@	choose to make@R@
want to listen to	need to listen to
strike	fall upon
escape from	escape to
steal from@R@	remove from@R@
be collected by	collect@R@
want one of	need one of
love work with@R@	work with@R@
seal@R@	close in on@R@
love the look of	smell
toss in	give away
stay	have for
duplicate@R@	double@R@
look to work with@R@	do work for@R@
test for	test
start to get@R@	get@R@
check out@R@	find out@R@
want to show	need to show
be confident of@R@	be confident in@R@
be issued in@R@	be in@R@
provide an overview of@R@	be an introduction to@R@
look into@R@	read into@R@
grant to@R@	award@R@
anticipate	envision
account for	take account of
be sent from	send from
be cut	cut
miss be	have be
stay to	remain to
excite@R@	stroke@R@
expect more from	wait for
bounce off@R@	jump off@R@
irritate	be bothered by@R@
like for	desire for
tune	tweak
be a different kind of@R@	be a sort of@R@
travel by@R@	drive by@R@
last in@R@	lie in@R@
indulge in	indulge
like with@R@	enjoy with@R@
tear up	bring out
