,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
41,room lead to place,room open to place,True,room,lead to,place,room,open to,place
42,graduate be bear in area,graduate live in area,True,graduate,be bear in,area,graduate,live in,area
43,graduate live in area,graduate be bear in area,True,graduate,live in,area,graduate,be bear in,area
44,location be locate in area,area be locate in location,True,location,be locate in,area,area,be locate in,location
45,area be locate in location,location be locate in area,True,area,be locate in,location,location,be locate in,area
46,risk can cause risk,risk can cause risk,True,risk,can cause,risk,risk,can cause,risk
47,risk can lead to risk,risk can lead to risk,True,risk,can lead to,risk,risk,can lead to,risk
48,risk can cause risk,risk can lead to risk,True,risk,can cause,risk,risk,can lead to,risk
49,risk can cause risk,risk can lead to risk,True,risk,can cause,risk,risk,can lead to,risk
50,risk can lead to risk,risk can cause risk,True,risk,can lead to,risk,risk,can cause,risk
51,risk can lead to risk,risk can cause risk,True,risk,can lead to,risk,risk,can cause,risk
52,device use technology,technology enable device,True,device,use,technology,technology,enable,device
53,graduate graduate from university,graduate attend university,True,graduate,graduate from,university,graduate,attend,university
54,graduate attend university,graduate graduate from university,True,graduate,attend,university,graduate,graduate from,university
55,drug  make by leader,drug  manufacture by leader,True,drug, make by,leader,drug, manufacture by,leader
56,drug  manufacture by leader,drug  make by leader,True,drug, manufacture by,leader,drug, make by,leader
57,club play sport,sport support club,True,club,play,sport,sport,support,club
58,sport support club,club play sport,True,sport,support,club,club,play,sport
59,device deliver hormone,device use hormone,True,device,deliver,hormone,device,use,hormone
60,device use hormone,device deliver hormone,True,device,use,hormone,device,deliver,hormone
61,provider offer solution,provider provide solution,True,provider,offer,solution,provider,provide,solution
62,provider provide solution,provider offer solution,True,provider,provide,solution,provider,offer,solution
63,ingredient contain substance,substance be find in ingredient,True,ingredient,contain,substance,substance,be find in,ingredient
64,substance be find in ingredient,ingredient contain substance,True,substance,be find in,ingredient,ingredient,contain,substance
65,drug can cause cause,drug cause cause,True,drug,can cause,cause,drug,cause,cause
66,drug cause cause,drug can cause cause,True,drug,cause,cause,drug,can cause,cause
67,engine buy provider,engine acquire provider,True,engine,buy,provider,engine,acquire,provider
68,engine acquire provider,engine buy provider,True,engine,acquire,provider,engine,buy,provider
69,corporation be headquarter in area,corporation be base in area,True,corporation,be headquarter in,area,corporation,be base in,area
70,corporation be base in area,corporation be headquarter in area,True,corporation,be base in,area,corporation,be headquarter in,area
71,director be bear in country,director return to country,True,director,be bear in,country,director,return to,country
72,director return to country,director be bear in country,True,director,return to,country,director,be bear in,country
73,animal live in region,animal be find in region,True,animal,live in,region,animal,be find in,region
74,animal be find in region,animal live in region,True,animal,be find in,region,animal,live in,region
75,herb treat disorder,herb be use for disorder,True,herb,treat,disorder,herb,be use for,disorder
76,herb be use for disorder,herb treat disorder,True,herb,be use for,disorder,herb,treat,disorder
77,bird have win event,bird win event,True,bird,have win,event,bird,win,event
78,bird win event,bird have win event,True,bird,win,event,bird,have win,event
79,team will win division,team win division,True,team,will win,division,team,win,division
80,team win division,team will win division,True,team,win,division,team,will win,division
81,writer live in area,writer be bear in area,True,writer,live in,area,writer,be bear in,area
82,writer be bear in area,writer live in area,True,writer,be bear in,area,writer,live in,area
83,browser call guide,browser live guide,True,browser,call,guide,browser,live,guide
84,browser live guide,browser call guide,True,browser,live,guide,browser,call,guide
85,island offer sport,island be know for sport,True,island,offer,sport,island,be know for,sport
86,island be know for sport,island offer sport,True,island,be know for,sport,island,offer,sport
87,application be base in city,application be headquarter in city,True,application,be base in,city,application,be headquarter in,city
88,application be headquarter in city,application be base in city,True,application,be headquarter in,city,application,be base in,city
89,treatment kill body,treatment to kill body,True,treatment,kill,body,treatment,to kill,body
90,treatment to kill body,treatment kill body,True,treatment,to kill,body,treatment,kill,body
91,leader issue material,leader sign material,True,leader,issue,material,leader,sign,material
92,leader sign material,leader issue material,True,leader,sign,material,leader,issue,material
93,inhibitor  know generically as inhibitor,inhibitor  know generically as inhibitor,True,inhibitor, know generically as,inhibitor,inhibitor, know generically as,inhibitor
94,inhibitor  know as inhibitor,inhibitor  know as inhibitor,True,inhibitor, know as,inhibitor,inhibitor, know as,inhibitor
95,inhibitor  know generically as inhibitor,inhibitor  know as inhibitor,True,inhibitor, know generically as,inhibitor,inhibitor, know as,inhibitor
96,inhibitor  know generically as inhibitor,inhibitor  know as inhibitor,True,inhibitor, know generically as,inhibitor,inhibitor, know as,inhibitor
97,inhibitor  know as inhibitor,inhibitor  know generically as inhibitor,True,inhibitor, know as,inhibitor,inhibitor, know generically as,inhibitor
98,inhibitor  know as inhibitor,inhibitor  know generically as inhibitor,True,inhibitor, know as,inhibitor,inhibitor, know generically as,inhibitor
99,device make of material,device be make of material,True,device,make of,material,device,be make of,material
100,device be make of material,device make of material,True,device,be make of,material,device,make of,material
101,attraction be locate in place,attraction open in place,True,attraction,be locate in,place,attraction,open in,place
102,attraction open in place,attraction be locate in place,True,attraction,open in,place,attraction,be locate in,place
103,member be rich in nutrient,member contain nutrient,True,member,be rich in,nutrient,member,contain,nutrient
104,member contain nutrient,member be rich in nutrient,True,member,contain,nutrient,member,be rich in,nutrient
105,state grow vegetable,vegetable be grow in state,True,state,grow,vegetable,vegetable,be grow in,state
106,vegetable be grow in state,state grow vegetable,True,vegetable,be grow in,state,state,grow,vegetable
107,tool to stop factor,tool to quit factor,True,tool,to stop,factor,tool,to quit,factor
108,tool to quit factor,tool to stop factor,True,tool,to quit,factor,tool,to stop,factor
109,product can cause complication,product cause complication,True,product,can cause,complication,product,cause,complication
110,product cause complication,product can cause complication,True,product,cause,complication,product,can cause,complication
111,writer receive award,writer win award,True,writer,receive,award,writer,win,award
112,writer win award,writer receive award,True,writer,win,award,writer,receive,award
113,corporation be headquarter in state,corporation be locate in state,True,corporation,be headquarter in,state,corporation,be locate in,state
114,corporation be locate in state,corporation be headquarter in state,True,corporation,be locate in,state,corporation,be headquarter in,state
115,center offer service,center provide service,True,center,offer,service,center,provide,service
116,center provide service,center offer service,True,center,provide,service,center,offer,service
117,facility be locate in town,facility  locate in town,True,facility,be locate in,town,facility, locate in,town
118,facility  locate in town,facility be locate in town,True,facility, locate in,town,facility,be locate in,town
119,animal emit gas,animal produce gas,True,animal,emit,gas,animal,produce,gas
120,process to love place,process to use place,True,process,to love,place,process,to use,place
121,manufacturer be base in place,manufacturer be headquarter in place,True,manufacturer,be base in,place,manufacturer,be headquarter in,place
122,manufacturer be headquarter in place,manufacturer be base in place,True,manufacturer,be headquarter in,place,manufacturer,be base in,place
123,inhibitor pass into food,inhibitor be excrete in food,True,inhibitor,pass into,food,inhibitor,be excrete in,food
124,inhibitor be excrete in food,inhibitor pass into food,True,inhibitor,be excrete in,food,inhibitor,pass into,food
125,solution contain mineral,mineral be find in solution,True,solution,contain,mineral,mineral,be find in,solution
126,mineral be find in solution,solution contain mineral,True,mineral,be find in,solution,solution,contain,mineral
127,procedure show disorder,procedure reveal disorder,True,procedure,show,disorder,procedure,reveal,disorder
128,procedure reveal disorder,procedure show disorder,True,procedure,reveal,disorder,procedure,show,disorder
129,man be bear in town,man live in town,True,man,be bear in,town,man,live in,town
130,man live in town,man be bear in town,True,man,live in,town,man,be bear in,town
131,procedure be shell of material,procedure be make of material,True,procedure,be shell of,material,procedure,be make of,material
132,procedure be make of material,procedure be shell of material,True,procedure,be make of,material,procedure,be shell of,material
133,facility be locate in state,facility locate in state,True,facility,be locate in,state,facility,locate in,state
134,facility locate in state,facility be locate in state,True,facility,locate in,state,facility,be locate in,state
135,band meet band,band meet band,True,band,meet,band,band,meet,band
136,band open for band,band open for band,True,band,open for,band,band,open for,band
137,medication  make by leader,medication  manufacture by leader,True,medication, make by,leader,medication, manufacture by,leader
138,medication  manufacture by leader,medication  make by leader,True,medication, manufacture by,leader,medication, make by,leader
139,source contain protein,protein be find in source,True,source,contain,protein,protein,be find in,source
140,protein be find in source,source contain protein,True,protein,be find in,source,source,contain,protein
141,country launch application,country send application,True,country,launch,application,country,send,application
142,country send application,country launch application,True,country,send,application,country,launch,application
143,man graduate from university,man attend university,True,man,graduate from,university,man,attend,university
144,man attend university,man graduate from university,True,man,attend,university,man,graduate from,university
145,hormone be find in product,product contain hormone,True,hormone,be find in,product,product,contain,hormone
146,product contain hormone,hormone be find in product,True,product,contain,hormone,hormone,be find in,product
147,time make food,time mean food,True,time,make,food,time,mean,food
148,time mean food,time make food,True,time,mean,food,time,make,food
149,island be know for activity,island offer activity,True,island,be know for,activity,island,offer,activity
150,island offer activity,island be know for activity,True,island,offer,activity,island,be know for,activity
151,partner be headquarter in place,partner be base in place,True,partner,be headquarter in,place,partner,be base in,place
152,partner be base in place,partner be headquarter in place,True,partner,be base in,place,partner,be headquarter in,place
153,organisation offer service,organisation provide service,True,organisation,offer,service,organisation,provide,service
154,organisation provide service,organisation offer service,True,organisation,provide,service,organisation,offer,service
155,game be make of material,game make of material,True,game,be make of,material,game,make of,material
156,game make of material,game be make of material,True,game,make of,material,game,be make of,material
157,disorder be treat with hormone,disorder must take hormone,True,disorder,be treat with,hormone,disorder,must take,hormone
158,disorder must take hormone,disorder be treat with hormone,True,disorder,must take,hormone,disorder,be treat with,hormone
159,crop  know as plant,plant  know as crop,True,crop, know as,plant,plant, know as,crop
160,plant  know as crop,crop  know as plant,True,plant, know as,crop,crop, know as,plant
161,fish be know as fish,fish be know as fish,True,fish,be know as,fish,fish,be know as,fish
162,fish  know as fish,fish  know as fish,True,fish, know as,fish,fish, know as,fish
163,fish be know as fish,fish  know as fish,True,fish,be know as,fish,fish, know as,fish
164,fish be know as fish,fish  know as fish,True,fish,be know as,fish,fish, know as,fish
165,fish  know as fish,fish be know as fish,True,fish, know as,fish,fish,be know as,fish
166,fish  know as fish,fish be know as fish,True,fish, know as,fish,fish,be know as,fish
167,treatment be combine with therapy,therapy be combine with treatment,True,treatment,be combine with,therapy,therapy,be combine with,treatment
168,therapy be combine with treatment,treatment be combine with therapy,True,therapy,be combine with,treatment,treatment,be combine with,therapy
169,company use piece,company may use piece,True,company,use,piece,company,may use,piece
170,company may use piece,company use piece,True,company,may use,piece,company,use,piece
171,graduate attend employer,graduate graduate from employer,True,graduate,attend,employer,graduate,graduate from,employer
172,graduate graduate from employer,graduate attend employer,True,graduate,graduate from,employer,graduate,attend,employer
173,factor love game,factor know about game,True,factor,love,game,factor,know about,game
174,factor know about game,factor love game,True,factor,know about,game,factor,love,game
175,equipment make in country,equipment be make in country,True,equipment,make in,country,equipment,be make in,country
176,equipment be make in country,equipment make in country,True,equipment,be make in,country,equipment,make in,country
177,village find in region,village develop in region,True,village,find in,region,village,develop in,region
178,village develop in region,village find in region,True,village,develop in,region,village,find in,region
179,firm offer process,firm provide process,True,firm,offer,process,firm,provide,process
180,firm provide process,firm offer process,True,firm,provide,process,firm,offer,process
181,medication may cause illness,medication can cause illness,True,medication,may cause,illness,medication,can cause,illness
182,medication can cause illness,medication may cause illness,True,medication,can cause,illness,medication,may cause,illness
183,protein contain metal,metal be part of protein,True,protein,contain,metal,metal,be part of,protein
184,metal be part of protein,protein contain metal,True,metal,be part of,protein,protein,contain,metal
185,product cause disorder,product can cause disorder,True,product,cause,disorder,product,can cause,disorder
186,product can cause disorder,product cause disorder,True,product,can cause,disorder,product,cause,disorder
187,book say about event,book call event,True,book,say about,event,book,call,event
188,book call event,book say about event,True,book,call,event,book,say about,event
189,therapy be part of system,system use therapy,True,therapy,be part of,system,system,use,therapy
190,system use therapy,therapy be part of system,True,system,use,therapy,therapy,be part of,system
191,area feel like metal,area be make of metal,True,area,feel like,metal,area,be make of,metal
192,town be the capital of island,town be capital of island,True,town,be the capital of,island,town,be capital of,island
193,town be capital of island,town be the capital of island,True,town,be capital of,island,town,be the capital of,island
194,solution be locate in city,solution be headquarter in city,True,solution,be locate in,city,solution,be headquarter in,city
195,solution be headquarter in city,solution be locate in city,True,solution,be headquarter in,city,solution,be locate in,city
196,city try fruit,city to see fruit,True,city,try,fruit,city,to see,fruit
197,city to see fruit,city try fruit,True,city,to see,fruit,city,try,fruit
198,island be locate in area,island be part of area,True,island,be locate in,area,island,be part of,area
199,island be part of area,island be locate in area,True,island,be part of,area,island,be locate in,area
200,provider approve food,provider inspect food,True,provider,approve,food,provider,inspect,food
201,provider inspect food,provider approve food,True,provider,inspect,food,provider,approve,food
202,mineral be find in place,mineral be mine in place,True,mineral,be find in,place,mineral,be mine in,place
203,mineral be mine in place,mineral be find in place,True,mineral,be mine in,place,mineral,be find in,place
204,corporation shall mean corporation,corporation mean corporation,True,corporation,shall mean,corporation,corporation,mean,corporation
205,corporation mean corporation,corporation shall mean corporation,True,corporation,mean,corporation,corporation,shall mean,corporation
206,treatment be part of system,system use treatment,True,treatment,be part of,system,system,use,treatment
207,system use treatment,treatment be part of system,True,system,use,treatment,treatment,be part of,system
208,therapy originate in country,therapy be develop in country,True,therapy,originate in,country,therapy,be develop in,country
209,therapy be develop in country,therapy originate in country,True,therapy,be develop in,country,therapy,originate in,country
210,village name community,village call community,True,village,name,community,village,call,community
211,village call community,village name community,True,village,call,community,village,name,community
212,writer be president of organization,writer found organization,True,writer,be president of,organization,writer,found,organization
213,writer found organization,writer be president of organization,True,writer,found,organization,writer,be president of,organization
214,family move to place,family live in place,True,family,move to,place,family,live in,place
215,family live in place,family move to place,True,family,live in,place,family,move to,place
216,partner provide service,partner offer service,True,partner,provide,service,partner,offer,service
217,partner offer service,partner provide service,True,partner,offer,service,partner,provide,service
218,destination be part of region,destination be locate in region,True,destination,be part of,region,destination,be locate in,region
219,destination be locate in region,destination be part of region,True,destination,be locate in,region,destination,be part of,region
220,plant contain acid,acid be find in plant,True,plant,contain,acid,acid,be find in,plant
221,acid be find in plant,plant contain acid,True,acid,be find in,plant,plant,contain,acid
222,town cook food,town boil food,True,town,cook,food,town,boil,food
223,town boil food,town cook food,True,town,boil,food,town,cook,food
224,manufacturer acquire manufacturer,manufacturer buy manufacturer,True,manufacturer,acquire,manufacturer,manufacturer,buy,manufacturer
225,manufacturer buy manufacturer,manufacturer acquire manufacturer,True,manufacturer,buy,manufacturer,manufacturer,acquire,manufacturer
226,island be part of region,island be locate in region,True,island,be part of,region,island,be locate in,region
227,island be locate in region,island be part of region,True,island,be locate in,region,island,be part of,region
228,plant  know as member,member  know as plant,True,plant, know as,member,member, know as,plant
229,member  know as plant,plant  know as member,True,member, know as,plant,plant, know as,member
230,therapy to treat disease,disease be treat with therapy,True,therapy,to treat,disease,disease,be treat with,therapy
231,disease be treat with therapy,therapy to treat disease,True,disease,be treat with,therapy,therapy,to treat,disease
232,vitamin be important in time,vitamin be important during time,True,vitamin,be important in,time,vitamin,be important during,time
233,vitamin be important during time,vitamin be important in time,True,vitamin,be important during,time,vitamin,be important in,time
234,charity provide service,charity offer service,True,charity,provide,service,charity,offer,service
235,charity offer service,charity provide service,True,charity,offer,service,charity,provide,service
236,piece be make of material,piece make of material,True,piece,be make of,material,piece,make of,material
237,piece make of material,piece be make of material,True,piece,make of,material,piece,be make of,material
238,chemical cause disease,chemical can cause disease,True,chemical,cause,disease,chemical,can cause,disease
239,chemical can cause disease,chemical cause disease,True,chemical,can cause,disease,chemical,cause,disease
240,writer publish work,writer write work,True,writer,publish,work,writer,write,work
241,writer write work,writer publish work,True,writer,write,work,writer,publish,work
242,fish contain nutrient,fish be source of nutrient,True,fish,contain,nutrient,fish,be source of,nutrient
243,fish be source of nutrient,fish contain nutrient,True,fish,be source of,nutrient,fish,contain,nutrient
244,town offer activity,town be know for activity,True,town,offer,activity,town,be know for,activity
245,town be know for activity,town offer activity,True,town,be know for,activity,town,offer,activity
246,professor live in place,professor be bear in place,True,professor,live in,place,professor,be bear in,place
247,professor be bear in place,professor live in place,True,professor,be bear in,place,professor,live in,place
248,area be know for activity,area offer activity,True,area,be know for,activity,area,offer,activity
249,area offer activity,area be know for activity,True,area,offer,activity,area,be know for,activity
250,agent cause infection,infection be cause by agent,True,agent,cause,infection,infection,be cause by,agent
251,infection be cause by agent,agent cause infection,True,infection,be cause by,agent,agent,cause,infection
252,fruit introduce solution,fruit launch solution,True,fruit,introduce,solution,fruit,launch,solution
253,fruit launch solution,fruit introduce solution,True,fruit,launch,solution,fruit,introduce,solution
254,protein be find in plant,plant contain protein,True,protein,be find in,plant,plant,contain,protein
255,plant contain protein,protein be find in plant,True,plant,contain,protein,protein,be find in,plant
256,manufacturer be base in town,manufacturer be headquarter in town,True,manufacturer,be base in,town,manufacturer,be headquarter in,town
257,manufacturer be headquarter in town,manufacturer be base in town,True,manufacturer,be headquarter in,town,manufacturer,be base in,town
258,teacher live in place,teacher be bear in place,True,teacher,live in,place,teacher,be bear in,place
259,teacher be bear in place,teacher live in place,True,teacher,be bear in,place,teacher,live in,place
260,tool be available for platform,tool run on platform,True,tool,be available for,platform,tool,run on,platform
261,tool run on platform,tool be available for platform,True,tool,run on,platform,tool,be available for,platform
262,manufacturer be headquarter in area,manufacturer be base in area,True,manufacturer,be headquarter in,area,manufacturer,be base in,area
263,manufacturer be base in area,manufacturer be headquarter in area,True,manufacturer,be base in,area,manufacturer,be headquarter in,area
264,member cause infection,infection be cause by member,True,member,cause,infection,infection,be cause by,member
265,infection be cause by member,member cause infection,True,infection,be cause by,member,member,cause,infection
266,material be high in nutrient,material contain nutrient,True,material,be high in,nutrient,material,contain,nutrient
267,material contain nutrient,material be high in nutrient,True,material,contain,nutrient,material,be high in,nutrient
268,writer die of disease,writer be diagnose with disease,True,writer,die of,disease,writer,be diagnose with,disease
269,writer be diagnose with disease,writer die of disease,True,writer,be diagnose with,disease,writer,die of,disease
270,body invoke process,body vote for process,True,body,invoke,process,body,vote for,process
271,body vote for process,body invoke process,True,body,vote for,process,body,invoke,process
272,village make of material,village make from material,True,village,make of,material,village,make from,material
273,village make from material,village make of material,True,village,make from,material,village,make of,material
274,provider offer tool,provider provide tool,True,provider,offer,tool,provider,provide,tool
275,provider provide tool,provider offer tool,True,provider,provide,tool,provider,offer,tool
276,food originate in region,food be native to region,True,food,originate in,region,food,be native to,region
277,food be native to region,food originate in region,True,food,be native to,region,food,originate in,region
278,member graduate from school,member attend school,True,member,graduate from,school,member,attend,school
279,member attend school,member graduate from school,True,member,attend,school,member,graduate from,school
280,man issue material,man sign material,True,man,issue,material,man,sign,material
281,man sign material,man issue material,True,man,sign,material,man,issue,material
282,company be headquarter in hotel,company be locate in hotel,True,company,be headquarter in,hotel,company,be locate in,hotel
283,company be locate in hotel,company be headquarter in hotel,True,company,be locate in,hotel,company,be headquarter in,hotel
284,nutrient lower factor,nutrient reduce factor,True,nutrient,lower,factor,nutrient,reduce,factor
285,nutrient reduce factor,nutrient lower factor,True,nutrient,reduce,factor,nutrient,lower,factor
286,source contain chemical,chemical be find in source,True,source,contain,chemical,chemical,be find in,source
287,chemical be find in source,source contain chemical,True,chemical,be find in,source,source,contain,chemical
288,procedure show organ,procedure reveal organ,True,procedure,show,organ,procedure,reveal,organ
289,procedure reveal organ,procedure show organ,True,procedure,reveal,organ,procedure,show,organ
290,metal be toxic to animal,animal be expose to metal,True,metal,be toxic to,animal,animal,be expose to,metal
291,animal be expose to metal,metal be toxic to animal,True,animal,be expose to,metal,metal,be toxic to,animal
292,author be bear in area,author live in area,True,author,be bear in,area,author,live in,area
293,author live in area,author be bear in area,True,author,live in,area,author,be bear in,area
294,disease  know as development,disease be know as development,True,disease, know as,development,disease,be know as,development
295,disease be know as development,disease  know as development,True,disease,be know as,development,disease, know as,development
296,activity star player,player play activity,True,activity,star,player,player,play,activity
297,player play activity,activity star player,True,player,play,activity,activity,star,player
298,editor be editor of magazine,editor write in magazine,True,editor,be editor of,magazine,editor,write in,magazine
299,editor write in magazine,editor be editor of magazine,True,editor,write in,magazine,editor,be editor of,magazine
300,member be rich in mineral,member contain mineral,True,member,be rich in,mineral,member,contain,mineral
301,member contain mineral,member be rich in mineral,True,member,contain,mineral,member,be rich in,mineral
302,directory be know as directory,directory be know as directory,True,directory,be know as,directory,directory,be know as,directory
303,directory  know as directory,directory  know as directory,True,directory, know as,directory,directory, know as,directory
304,directory be know as directory,directory  know as directory,True,directory,be know as,directory,directory, know as,directory
305,directory be know as directory,directory  know as directory,True,directory,be know as,directory,directory, know as,directory
306,directory  know as directory,directory be know as directory,True,directory, know as,directory,directory,be know as,directory
307,directory  know as directory,directory be know as directory,True,directory, know as,directory,directory,be know as,directory
308,artist live in destination,artist be bear in destination,True,artist,live in,destination,artist,be bear in,destination
309,artist be bear in destination,artist live in destination,True,artist,be bear in,destination,artist,live in,destination
310,provider offer application,provider provide application,True,provider,offer,application,provider,provide,application
311,provider provide application,provider offer application,True,provider,provide,application,provider,offer,application
312,ingredient can cause effect,ingredient may cause effect,True,ingredient,can cause,effect,ingredient,may cause,effect
313,ingredient may cause effect,ingredient can cause effect,True,ingredient,may cause,effect,ingredient,can cause,effect
314,event begin in:date work,event begin in work,True,event,begin in:date,work,event,begin in,work
315,event begin in work,event begin in:date work,True,event,begin in,work,event,begin in:date,work
316,substance can cause complication,substance cause complication,True,substance,can cause,complication,substance,cause,complication
317,substance cause complication,substance can cause complication,True,substance,cause,complication,substance,can cause,complication
318,author write film,film be own by author,True,author,write,film,film,be own by,author
319,film be own by author,author write film,True,film,be own by,author,author,write,film
320,school be locate in town,school  locate in town,True,school,be locate in,town,school, locate in,town
321,school  locate in town,school be locate in town,True,school, locate in,town,school,be locate in,town
322,graduate graduate from institution,graduate attend institution,True,graduate,graduate from,institution,graduate,attend,institution
323,graduate attend institution,graduate graduate from institution,True,graduate,attend,institution,graduate,graduate from,institution
324,substance cause risk,substance can cause risk,True,substance,cause,risk,substance,can cause,risk
325,substance can cause risk,substance cause risk,True,substance,can cause,risk,substance,cause,risk
326,author receive award,author win award,True,author,receive,award,author,win,award
327,author win award,author receive award,True,author,win,award,author,receive,award
328,metal cause disorder,metal can cause disorder,True,metal,cause,disorder,metal,can cause,disorder
329,metal can cause disorder,metal cause disorder,True,metal,can cause,disorder,metal,cause,disorder
330,book support practice,book allow practice,True,book,support,practice,book,allow,practice
331,book allow practice,book support practice,True,book,allow,practice,book,support,practice
332,writer live in center,writer be bear in center,True,writer,live in,center,writer,be bear in,center
333,writer be bear in center,writer live in center,True,writer,be bear in,center,writer,live in,center
334,tree contain nutrient,tree be rich in nutrient,True,tree,contain,nutrient,tree,be rich in,nutrient
335,tree be rich in nutrient,tree contain nutrient,True,tree,be rich in,nutrient,tree,contain,nutrient
336,organization play sport,organization be play sport,True,organization,play,sport,organization,be play,sport
337,organization be play sport,organization play sport,True,organization,be play,sport,organization,play,sport
338,activity play activity,activity play activity,True,activity,play,activity,activity,play,activity
339,leader make device,leader offer device,True,leader,make,device,leader,offer,device
340,leader offer device,leader make device,True,leader,offer,device,leader,make,device
341,consultant be bear in city,consultant live in city,True,consultant,be bear in,city,consultant,live in,city
342,consultant live in city,consultant be bear in city,True,consultant,live in,city,consultant,be bear in,city
343,band meet artist,artist meet band,True,band,meet,artist,artist,meet,band
344,artist meet band,band meet artist,True,artist,meet,band,band,meet,artist
345,community be know for activity,community offer activity,True,community,be know for,activity,community,offer,activity
346,community offer activity,community be know for activity,True,community,offer,activity,community,be know for,activity
347,nutrient react to nutrient,nutrient react to nutrient,True,nutrient,react to,nutrient,nutrient,react to,nutrient
348,nutrient  know as nutrient,nutrient  know as nutrient,True,nutrient, know as,nutrient,nutrient, know as,nutrient
349,manufacturer be headquarter in community,manufacturer be base in community,True,manufacturer,be headquarter in,community,manufacturer,be base in,community
350,manufacturer be base in community,manufacturer be headquarter in community,True,manufacturer,be base in,community,manufacturer,be headquarter in,community
351,gas be convert to substance,substance contain gas,True,gas,be convert to,substance,substance,contain,gas
352,substance contain gas,gas be convert to substance,True,substance,contain,gas,gas,be convert to,substance
353,herb be grow in region,herb be native to region,True,herb,be grow in,region,herb,be native to,region
354,herb be native to region,herb be grow in region,True,herb,be native to,region,herb,be grow in,region
355,company provide business,company offer business,True,company,provide,business,company,offer,business
356,company offer business,company provide business,True,company,offer,business,company,provide,business
357,chemical to generate service,chemical to produce service,True,chemical,to generate,service,chemical,to produce,service
358,chemical to produce service,chemical to generate service,True,chemical,to produce,service,chemical,to generate,service
359,director be bear in city,director live in city,True,director,be bear in,city,director,live in,city
360,director live in city,director be bear in city,True,director,live in,city,director,be bear in,city
361,publication report that country,publication report country,True,publication,report that,country,publication,report,country
362,publication report country,publication report that country,True,publication,report,country,publication,report that,country
363,service be provide by corporation,corporation provide service,True,service,be provide by,corporation,corporation,provide,service
364,corporation provide service,service be provide by corporation,True,corporation,provide,service,service,be provide by,corporation
365,illness be cause by cause,cause cause illness,True,illness,be cause by,cause,cause,cause,illness
