,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
105,Barack Obama speak about his economic stimulus package,Barack Obama talk about his economic stimulus package,True,Barack Obama,speak about,his economic stimulus package,Barack Obama,talk about,his economic stimulus package
106,The video be available on YouTube,The video be added to YouTube,True,The video,be available on,YouTube,The video,be added to,YouTube
107,The house lie on the hillside,The house be situated along the hillside,True,The house,lie on,the hillside,The house,be situated along,the hillside
108,This software be aimed for authors,This software be marketed to authors,True,This software,be aimed for,authors,This software,be marketed to,authors
109,The locals take an interest in the game,The locals want to learn more about the game,True,The locals,take an interest in,the game,The locals,want to learn more about,the game
110,Noe Schitt marry Ted Sherlock,Noe Schitt wed Ted Sherlock,True,Noe Schitt,marry,Ted Sherlock,Noe Schitt,wed,Ted Sherlock
111,foods prevent cancer,foods protect against cancer,True,foods,prevent,cancer,foods,protect against,cancer
112,business want to participate in the network,business want to be part of the network,True,business,want to participate in,the network,business,want to be part of,the network
113,This page be incorporated in our news page,This page be included in our news page,True,This page,be incorporated in,our news page,This page,be included in,our news page
114,Only a minority be involved in violence,Only a minority engage in violence,True,Only a minority,be involved in,violence,Only a minority,engage in,violence
115,the movie hit theater on June 29,the movie debut June 29,True,the movie,hit theater on,June 29,the movie,debut,June 29
116,The FDA participate in meetings,The FDA engage in meetings,True,The FDA,participate in,meetings,The FDA,engage in,meetings
117,insurance be required for all leased equipment,insurance be required to all leased equipment,True,insurance,be required for,all leased equipment,insurance,be required to,all leased equipment
118,Pervez Musharraf undermine the Constitution,Pervez Musharraf weaken the Constitution,True,Pervez Musharraf,undermine,the Constitution,Pervez Musharraf,weaken,the Constitution
119,the rivalry be good for the state,the rivalry be suitable for the state,True,the rivalry,be good for,the state,the rivalry,be suitable for,the state
120,voters decide to support the Democratic Party,voters get behind the Democratic Party,True,voters,decide to support,the Democratic Party,voters,get behind,the Democratic Party
121,the guest transfer to hotel,the guest move to hotel,True,the guest,transfer to,hotel,the guest,move to,hotel
123,Women be the keeper of seeds,Women be keeper of seeds,True,Women,be the keeper of,seeds,Women,be keeper of,seeds
124,classes assist student in pronunciation,classes assist in pronunciation,True,classes,assist student in,pronunciation,classes,assist in,pronunciation
125,Apple solve that issue,Apple settle that issue,True,Apple,solve,that issue,Apple,settle,that issue
126,Canada remain in NATO,Canada continue to be in NATO,True,Canada,remain in,NATO,Canada,continue to be in,NATO
127,proper nutrition be important to fitness,proper nutrition affect fitness,True,proper nutrition,be important to,fitness,proper nutrition,affect,fitness
128,her hair cover her face,her hair be cover her face,True,her hair,cover,her face,her hair,be cover,her face
129,the general public agree with the decision,the general public go along with the decision,True,the general public,agree with,the decision,the general public,go along with,the decision
130,every thing be done on the computer,every thing be performed with the computer,True,every thing,be done on,the computer,every thing,be performed with,the computer
131,Information submit via forms,Information be submitted in forms,True,Information,submit via,forms,Information,be submitted in,forms
132,the opportunity present itself,the opportunity introduce itself,True,the opportunity,present,itself,the opportunity,introduce,itself
133,more information please visit these links,more information be posted on these links,True,more information,please visit,these links,more information,be posted on,these links
134,the court fix the terms,the court correct the terms,True,the court,fix,the terms,the court,correct,the terms
135,the board meet on April 20,the board be conducted on April 20,True,the board,meet on,April 20,the board,be conducted on,April 20
136,our priorities matter to our community,our priorities do matter to our community,True,our priorities,matter to,our community,our priorities,do matter to,our community
137,Johnny restart the job,Johnny reset the job,True,Johnny,restart,the job,Johnny,reset,the job
138,Many people love to play basketball,Many people love play basketball,True,Many people,love to play,basketball,Many people,love play,basketball
139,The pain be felt in the chest,The pain extend up the chest,True,The pain,be felt in,the chest,The pain,extend up,the chest
140,Your carpet look fine on the surface,Your carpet look good on the surface,True,Your carpet,look fine on,the surface,Your carpet,look good on,the surface
141,Cephalexin prevent the bacteria,Cephalexin reduce the incidence of the bacteria,True,Cephalexin,prevent,the bacteria,Cephalexin,reduce the incidence of,the bacteria
142,the brackets be placed in the assembly,the brackets be inserted in the assembly,True,the brackets,be placed in,the assembly,the brackets,be inserted in,the assembly
143,The employee be a person with disabilities,The employee be an individual with disabilities,True,The employee,be a person with,disabilities,The employee,be an individual with,disabilities
144,The sponsor be required to select investigators,The sponsor be asked to specify investigators,True,The sponsor,be required to select,investigators,The sponsor,be asked to specify,investigators
145,Ive want to be in the music business,Ive want to join the music business,True,Ive,want to be in,the music business,Ive,want to join,the music business
146,ACC agree to comply with the legislation,ACC accept the term of the legislation,True,ACC,agree to comply with,the legislation,ACC,accept the term of,the legislation
147,A fan speed air circulation,A fan speed up air circulation,True,A fan,speed,air circulation,A fan,speed up,air circulation
148,My father have a love for education,My father be fond of education,True,My father,have a love for,education,My father,be fond of,education
149,This one leave out the little guy,This one skip the little guy,True,This one,leave out,the little guy,This one,skip,the little guy
150,some of the national companies have location in your area,some of the national companies have operation in your area,True,some of the national companies,have location in,your area,some of the national companies,have operation in,your area
151,Four people be arrested in connection,Four people be captured in connection,True,Four people,be arrested in,connection,Four people,be captured in,connection
152,The International Committee of the Red Cross elaborate on the Geneva Conventions,The International Committee of the Red Cross discuss some of the Geneva Conventions,True,The International Committee of the Red Cross,elaborate on,the Geneva Conventions,The International Committee of the Red Cross,discuss some of,the Geneva Conventions
153,Minerals be needed for growth,Minerals be essential to growth,True,Minerals,be needed for,growth,Minerals,be essential to,growth
154,insurance be required for all leased equipment,insurance be required with all leased equipment,True,insurance,be required for,all leased equipment,insurance,be required with,all leased equipment
155,the federal government get to do something about illegal immigration,the federal government do something about illegal immigration,True,the federal government,get to do something about,illegal immigration,the federal government,do something about,illegal immigration
156,This database provide user with easy access,This database be offered as easy access,True,This database,provide user with,easy access,This database,be offered as,easy access
157,the movie hit theater on June 29,the movie be released in June 29,True,the movie,hit theater on,June 29,the movie,be released in,June 29
158,The vehicle depart at a high rate of speed,The vehicle go at a high rate of speed,True,The vehicle,depart at,a high rate of speed,The vehicle,go at,a high rate of speed
159,voters decide to support the Democratic Party,voters decide to vote for the Democratic Party,True,voters,decide to support,the Democratic Party,voters,decide to vote for,the Democratic Party
160,The Saints win a home game,The Saints go on to win a home game,True,The Saints,win,a home game,The Saints,go on to win,a home game
161,employers pay for unemployment taxes,employers cover unemployment taxes,True,employers,pay for,unemployment taxes,employers,cover,unemployment taxes
162,Ive have a few of her books,Ive get some of her books,True,Ive,have a few of,her books,Ive,get some of,her books
163,Individuals volunteer for active duty,Individuals be a volunteer for active duty,True,Individuals,volunteer for,active duty,Individuals,be a volunteer for,active duty
164,The Department of Biology offer a master of science degree,The Department of Biology offer program in science degree,True,The Department of Biology,offer a master of,science degree,The Department of Biology,offer program in,science degree
165,The children 's mother remain in jail,The children 's mother continue in jail,True,The children 's mother,remain in,jail,The children 's mother,continue in,jail
166,youll have the feeling of satisfaction,youll get a feeling of satisfaction,True,youll,have the feeling of,satisfaction,youll,get a feeling of,satisfaction
167,Hypnotherapy involve the use of psychotherapy,Hypnotherapy be carried out with psychotherapy,True,Hypnotherapy,involve the use of,psychotherapy,Hypnotherapy,be carried out with,psychotherapy
168,the band go on tour,the band be expected to go on tour,True,the band,go on,tour,the band,be expected to go on,tour
169,This country need a change in direction,This country need change in direction,True,This country,need a change in,direction,This country,need change in,direction
170,students give in to their demand,students indulge their demand,True,students,give in to,their demand,students,indulge,their demand
171,children be descendant of their natural parents,children be a descendent of their natural parents,True,children,be descendant of,their natural parents,children,be a descendent of,their natural parents
172,This apartment recommend for 5 adults,This apartment be recommended for 5 adults,True,This apartment,recommend for,5 adults,This apartment,be recommended for,5 adults
173,the changes be propagated to the primary database,the changes propagate to the primary database,True,the changes,be propagated to,the primary database,the changes,propagate to,the primary database
175,A positive outlook determine a positive outcome,A positive outlook establish a positive outcome,True,A positive outlook,determine,a positive outcome,A positive outlook,establish,a positive outcome
176,The fear of the LORD be the beginning of knowledge,The fear of the LORD bring knowledge,True,The fear of the LORD,be the beginning of,knowledge,The fear of the LORD,bring,knowledge
177,Leah let out a sigh,Leah let loose with a sigh,True,Leah,let out,a sigh,Leah,let loose with,a sigh
178,Men be free from disease,Men be devoid of disease,True,Men,be free from,disease,Men,be devoid of,disease
179,The pain be felt in the chest,The pain be noticeable in the chest,True,The pain,be felt in,the chest,The pain,be noticeable in,the chest
180,the truth seem clear to ourselves,the truth become apparent to ourselves,True,the truth,seem clear to,ourselves,the truth,become apparent to,ourselves
181,many people talk with the practitioners,many people speak with the practitioners,True,many people,talk with,the practitioners,many people,speak with,the practitioners
182,The Mongols be more fond of paper money,The Mongols tend to enjoy paper money,True,The Mongols,be more fond of,paper money,The Mongols,tend to enjoy,paper money
183,some of the national companies have location in your area,some of the national companies open a branch in your area,True,some of the national companies,have location in,your area,some of the national companies,open a branch in,your area
184,No one mess with the Executioner,No one mess around with the Executioner,True,No one,mess with,the Executioner,No one,mess around with,the Executioner
185,different methods generate different results,different methods happen different results,True,different methods,generate,different results,different methods,happen,different results
186,this site be the property of Company,this site remain the property of Company,True,this site,be the property of,Company,this site,remain the property of,Company
187,Mary have a break in study,Mary take a break in study,True,Mary,have a break in,study,Mary,take a break in,study
188,Bratislava be called Bratislava,Bratislava be known as Bratislava,True,Bratislava,be called,Bratislava,Bratislava,be known as,Bratislava
189,every contestant win a prize,every contestant be expected to win a prize,True,every contestant,win,a prize,every contestant,be expected to win,a prize
190,Websites reflect their owners,Websites be indicative of their owners,True,Websites,reflect,their owners,Websites,be indicative of,their owners
191,Robert Gibbs take on Sean Hannity,Robert Gibbs be willing to take on Sean Hannity,True,Robert Gibbs,take on,Sean Hannity,Robert Gibbs,be willing to take on,Sean Hannity
192,this change be reported to immigration,this change be communicated to immigration,True,this change,be reported to,immigration,this change,be communicated to,immigration
193,students be employed at the United Nations,students be hired by the United Nations,True,students,be employed at,the United Nations,students,be hired by,the United Nations
194,These programs be designed to assist students,These programs be developed to help students,True,These programs,be designed to assist,students,These programs,be developed to help,students
196,This side effect be more common for women,This side effect be more frequent in women,True,This side effect,be more common for,women,This side effect,be more frequent in,women
197,exercise be essential for a healthy life,exercise be essential in a healthy life,True,exercise,be essential for,a healthy life,exercise,be essential in,a healthy life
198,inflammation be a marker for many chronic diseases,inflammation be linked with many chronic diseases,True,inflammation,be a marker for,many chronic diseases,inflammation,be linked with,many chronic diseases
199,young people build leadership skills,young people be build leadership skills,True,young people,build,leadership skills,young people,be build,leadership skills
200,Many people wish have the talent,Many people hope to get the talent,True,Many people,wish have,the talent,Many people,hope to get,the talent
201,a code indicate the state or territory,a code signify the state or territory,True,a code,indicate,the state or territory,a code,signify,the state or territory
202,The program take place after lunch,The program be set after lunch,True,The program,take place after,lunch,The program,be set after,lunch
203,The administration be notified of this problem,The administration receive notification of this problem,True,The administration,be notified of,this problem,The administration,receive notification of,this problem
204,students be proficient in Spanish,students communicate in Spanish,True,students,be proficient in,Spanish,students,communicate in,Spanish
205,This one be difficult for the younger set,This one be a problem for the younger set,True,This one,be difficult for,the younger set,This one,be a problem for,the younger set
206,teenagers aspire to virginity,teenagers be interested in pursue virginity,True,teenagers,aspire to,virginity,teenagers,be interested in pursue,virginity
207,His body be cremated in England,His body be burnt in England,True,His body,be cremated in,England,His body,be burnt in,England
208,Bob Dylan be an avid reader of history,Bob Dylan be a regular reader of history,True,Bob Dylan,be an avid reader of,history,Bob Dylan,be a regular reader of,history
209,INTERNATIONAL PHARMACY cut down on the bill,INTERNATIONAL PHARMACY lower the bill,True,INTERNATIONAL PHARMACY,cut down on,the bill,INTERNATIONAL PHARMACY,lower,the bill
210,The dining room tables be set up for six people,The dining room tables be formed for six people,True,The dining room tables,be set up for,six people,The dining room tables,be formed for,six people
211,your teen be into music,your teen be drawn to music,True,your teen,be into,music,your teen,be drawn to,music
212,Our search engine return a list of documents,Our search engine give a list of documents,True,Our search engine,return a list of,documents,Our search engine,give a list of,documents
213,Fishing licenses be sold at the park,Fishing licenses be purchased from the park,True,Fishing licenses,be sold at,the park,Fishing licenses,be purchased from,the park
214,the crew get on stage,the crew get up on stage,True,the crew,get on,stage,the crew,get up on,stage
215,This feature fool a user,This feature trick a user,True,This feature,fool,a user,This feature,trick,a user
216,the carbon dioxide come out of solution,the carbon dioxide come out from solution,True,the carbon dioxide,come out of,solution,the carbon dioxide,come out from,solution
217,the military help out the family,the military do something for the family,True,the military,help out,the family,the military,do something for,the family
218,Parents take care of their personal needs,Parents feed their personal needs,True,Parents,take care of,their personal needs,Parents,feed,their personal needs
219,Rivastigmine cure Alzheimer 's disease,Rivastigmine be the cure for Alzheimer 's disease,True,Rivastigmine,cure,Alzheimer 's disease,Rivastigmine,be the cure for,Alzheimer 's disease
220,Al Gore III drive about 100 mph,Al Gore III travel 100 mph,True,Al Gore III,drive about,100 mph,Al Gore III,travel,100 mph
221,Al Gore III drive about 100 mph,Al Gore III travel up to 100 mph,True,Al Gore III,drive about,100 mph,Al Gore III,travel up to,100 mph
222,Barack Obama speak about his economic stimulus package,Barack Obama say about his economic stimulus package,True,Barack Obama,speak about,his economic stimulus package,Barack Obama,say about,his economic stimulus package
223,revisions be made based on events,revisions be based upon events,True,revisions,be made based on,events,revisions,be based upon,events
224,Site be sponsored by the National Institute,Site be supported by the National Institute,True,Site,be sponsored by,the National Institute,Site,be supported by,the National Institute
225,Some of them be generous of their time,Some of them be generous with their time,True,Some of them,be generous of,their time,Some of them,be generous with,their time
226,Mai have a crush on Andy,Mai be attracted to Andy,True,Mai,have a crush on,Andy,Mai,be attracted to,Andy
227,A police officer witness the incident,A police officer get to see the incident,True,A police officer,witness,the incident,A police officer,get to see,the incident
228,the machine be connected to a local network,the machine have access to a local network,True,the machine,be connected to,a local network,the machine,have access to,a local network
229,a separation agreement be presented to the court,a separation agreement be forwarded to the court,True,a separation agreement,be presented to,the court,a separation agreement,be forwarded to,the court
230,Power be given to the Antichrist,Power be made available to the Antichrist,True,Power,be given to,the Antichrist,Power,be made available to,the Antichrist
231,Bruno run out of the room,Bruno get out of the room,True,Bruno,run out of,the room,Bruno,get out of,the room
232,Chennai be regarded as the Gateway,Chennai be described as the Gateway,True,Chennai,be regarded as,the Gateway,Chennai,be described as,the Gateway
233,the Chinese language be composed of characters,the Chinese language be a combination of characters,True,the Chinese language,be composed of,characters,the Chinese language,be a combination of,characters
234,our company open for business,our company open up for business,True,our company,open for,business,our company,open up for,business
235,Children stay for the whole day,Children stay over the whole day,True,Children,stay for,the whole day,Children,stay over,the whole day
236,ProductCart be specific to Google Checkout,ProductCart be unique to Google Checkout,True,ProductCart,be specific to,Google Checkout,ProductCart,be unique to,Google Checkout
237,Blogger overhaul their system,Blogger change up their system,True,Blogger,overhaul,their system,Blogger,change up,their system
238,The republic be hijacked by Forces,The republic be taken over by Forces,True,The republic,be hijacked by,Forces,The republic,be taken over by,Forces
239,the Greater Yellowstone Area be impacted by brucellosis,the Greater Yellowstone Area feel the effect of brucellosis,True,the Greater Yellowstone Area,be impacted by,brucellosis,the Greater Yellowstone Area,feel the effect of,brucellosis
240,The monarch grant a dissolution,The monarch decide to grant a dissolution,True,The monarch,grant,a dissolution,The monarch,decide to grant,a dissolution
241,Google introduce Video search,Google announce the release of Video search,True,Google,introduce,Video search,Google,announce the release of,Video search
242,Peter like to design things,Peter enjoy design things,True,Peter,like to design,things,Peter,enjoy design,things
243,his best work be done before World War II,his best work be complete by World War II,True,his best work,be done before,World War II,his best work,be complete by,World War II
244,the partnership have many benefit for both companies,the partnership be healthy for both companies,True,the partnership,have many benefit for,both companies,the partnership,be healthy for,both companies
246,Men walk for two to three hours,Men travel for two to three hours,True,Men,walk for,two to three hours,Men,travel for,two to three hours
247,the Catholic missionaries persevere in their work,the Catholic missionaries remain firm in their work,True,the Catholic missionaries,persevere in,their work,the Catholic missionaries,remain firm in,their work
248,This phone have load of features,This phone get ton of features,True,This phone,have load of,features,This phone,get ton of,features
249,This one need a bit of polish,This one need some kind of polish,True,This one,need a bit of,polish,This one,need some kind of,polish
250,The law increase license fees,The law help boost license fees,True,The law,increase,license fees,The law,help boost,license fees
251,Most libraries erase all of this information,Most libraries erase this information,True,Most libraries,erase all of,this information,Most libraries,erase,this information
252,The Egyptians be supposed to be the first people,The Egyptians be considered the first people,True,The Egyptians,be supposed to be,the first people,The Egyptians,be considered,the first people
253,pelvic pain last for months,pelvic pain be for months,True,pelvic pain,last for,months,pelvic pain,be for,months
254,Dad end up marry Mom,Dad marry to Mom,True,Dad,end up marry,Mom,Dad,marry to,Mom
255,the same group plan this attack,the same group coordinate this attack,True,the same group,plan,this attack,the same group,coordinate,this attack
